Estación : CORRAL QUEMADO
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,CUMBA
Latitud :,5°45'16.6'',Longitud :,78°41'31.5'',Altitud :,427 msnm.
Tipo :,EHA - Hidrológica,Código :,472B607A
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/10/01,00:00,S/D,0.0
2025/10/01,01:00,S/D,0.0
2025/10/01,02:00,S/D,0.0
2025/10/01,03:00,S/D,0.0
2025/10/01,04:00,S/D,0.0
2025/10/01,05:00,S/D,0.0
2025/10/01,06:00,S/D,0.0
2025/10/01,07:00,S/D,0.0
2025/10/01,08:00,S/D,0.0
2025/10/01,09:00,S/D,0.0
2025/10/01,10:00,S/D,0.0
2025/10/01,11:00,S/D,0.0
2025/10/01,12:00,S/D,0.0
2025/10/01,13:00,S/D,0.7
2025/10/01,14:00,S/D,0.1
2025/10/01,15:00,S/D,0.0
2025/10/01,16:00,S/D,0.0
2025/10/01,17:00,S/D,0.0
2025/10/01,18:00,S/D,0.0
2025/10/01,19:00,S/D,0.0
2025/10/01,20:00,S/D,0.0
2025/10/01,21:00,S/D,0.0
2025/10/01,22:00,S/D,0.0
2025/10/01,23:00,S/D,0.0
2025/10/02,00:00,S/D,0.0
2025/10/02,01:00,S/D,0.0
2025/10/02,02:00,S/D,0.0
2025/10/02,03:00,S/D,0.0
2025/10/02,04:00,S/D,0.0
2025/10/02,05:00,S/D,0.0
2025/10/02,06:00,S/D,0.0
2025/10/02,07:00,S/D,0.0
2025/10/02,08:00,S/D,0.0
2025/10/02,09:00,S/D,0.0
2025/10/02,10:00,S/D,0.0
2025/10/02,11:00,S/D,0.0
