Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/01/01,00:00,1.41,0.7
2025/01/01,01:00,1.38,0.5
2025/01/01,02:00,1.38,1.5
2025/01/01,03:00,1.38,1.3
2025/01/01,04:00,1.36,1.1
2025/01/01,05:00,1.34,0.2
2025/01/01,06:00,1.32,0.0
2025/01/01,07:00,1.31,0.0
2025/01/01,08:00,1.30,0.0
2025/01/01,09:00,1.28,0.0
2025/01/01,10:00,1.27,0.0
2025/01/01,11:00,1.26,0.0
2025/01/01,12:00,1.24,0.0
2025/01/01,13:00,1.21,0.7
2025/01/01,14:00,1.19,0.0
2025/01/01,15:00,1.18,0.0
2025/01/01,16:00,1.16,0.0
2025/01/01,17:00,1.16,0.0
2025/01/01,18:00,1.16,0.0
2025/01/01,19:00,1.17,0.0
2025/01/01,20:00,1.18,0.0
2025/01/01,21:00,1.19,0.0
2025/01/01,22:00,1.20,0.0
2025/01/01,23:00,1.21,0.0
2025/01/02,00:00,1.20,0.0
2025/01/02,01:00,1.21,0.0
2025/01/02,02:00,1.20,0.0
2025/01/02,03:00,1.20,0.0
2025/01/02,04:00,1.20,0.1
2025/01/02,05:00,1.23,20.2
2025/01/02,06:00,1.23,0.8
2025/01/02,07:00,1.23,0.1
2025/01/02,08:00,1.24,0.0
2025/01/02,09:00,1.24,0.0
2025/01/02,10:00,1.33,1.1
2025/01/02,11:00,1.47,1.4
2025/01/02,12:00,1.47,0.1
2025/01/02,14:00,1.64,0.0
2025/01/02,15:00,1.66,0.0
2025/01/02,16:00,1.67,0.0
2025/01/02,17:00,1.67,1.0
2025/01/02,18:00,1.66,1.2
2025/01/02,19:00,1.70,0.2
2025/01/02,20:00,1.71,0.0
2025/01/02,21:00,1.75,0.0
2025/01/02,22:00,1.89,0.0
2025/01/02,23:00,1.88,0.0
2025/01/03,00:00,1.83,0.0
2025/01/03,01:00,1.75,0.0
2025/01/03,02:00,1.69,0.0
2025/01/03,03:00,1.67,0.0
2025/01/03,04:00,1.63,0.5
2025/01/03,05:00,1.60,0.0
2025/01/03,06:00,1.58,0.1
2025/01/03,07:00,1.56,0.0
2025/01/03,08:00,1.55,0.0
2025/01/03,09:00,1.53,0.0
2025/01/03,10:00,1.51,0.1
2025/01/03,11:00,1.49,1.4
2025/01/03,12:00,1.48,1.3
2025/01/03,13:00,1.46,0.0
2025/01/03,14:00,1.43,0.0
2025/01/03,15:00,1.41,0.0
2025/01/03,16:00,1.41,0.0
2025/01/03,17:00,1.43,0.0
2025/01/03,18:00,1.46,0.0
2025/01/03,19:00,1.49,0.1
2025/01/03,20:00,1.51,0.0
2025/01/03,21:00,1.50,0.0
2025/01/03,22:00,1.48,0.0
2025/01/03,23:00,1.47,0.0
2025/01/04,00:00,1.46,0.0
2025/01/04,01:00,1.44,0.1
2025/01/04,02:00,1.41,0.2
2025/01/04,03:00,1.40,0.0
2025/01/04,04:00,1.39,0.2
2025/01/04,05:00,1.48,0.2
2025/01/04,06:00,1.54,0.1
2025/01/04,07:00,1.52,0.2
2025/01/04,08:00,1.52,0.3
2025/01/04,09:00,1.52,0.0
2025/01/04,10:00,1.51,0.0
2025/01/04,11:00,1.50,0.0
2025/01/04,12:00,S/D,0.1
2025/01/04,14:00,1.43,0.0
2025/01/04,15:00,1.41,0.0
2025/01/04,16:00,S/D,0.0
2025/01/04,17:00,1.62,0.0
2025/01/04,18:00,1.78,0.0
2025/01/04,19:00,1.83,0.0
2025/01/04,20:00,1.85,0.0
2025/01/04,21:00,1.84,0.0
2025/01/04,22:00,1.80,0.0
2025/01/04,23:00,1.74,0.0
2025/01/05,00:00,1.67,0.0
2025/01/05,01:00,1.63,0.0
2025/01/05,02:00,1.60,0.0
2025/01/05,03:00,1.55,0.0
2025/01/05,04:00,S/D,0.0
2025/01/05,05:00,1.53,0.0
2025/01/05,06:00,1.56,0.0
2025/01/05,07:00,1.64
