Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2023/02/01,00:00,5.95,0.0
2023/02/01,01:00,5.92,0.0
2023/02/01,02:00,5.91,0.0
2023/02/01,03:00,5.90,0.0
2023/02/01,04:00,5.90,0.0
2023/02/01,05:00,5.90,0.0
2023/02/01,06:00,5.90,0.0
2023/02/01,07:00,5.94,0.0
2023/02/01,08:00,5.89,0.0
2023/02/01
