Estación : LOS NARANJOS
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,BAGUA GRANDE
Latitud :,5°45'20.46'',Longitud :,78°25'53.55'',Altitud :,427 msnm.
Tipo :,HLG - Hidrológica,Código :,221501
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-12-01,0.890,0.880,0.880,0.830
2022-12-02,0.900,0.880,0.880,0.870
2022-12-03,0.870,0.860,0.860,0.850
2022-12-04,0.880,0.870,0.880,0.880
2022-12-05,0.880,0.870,0.870,0.860
2022-12-06,0.920,0.910,0.900,0.890
2022-12-07,0.890,0.880,0.880,0.860
2022-12-08,0.880,0.870,0.860,0.850
2022-12-09,0.870,0.870,0.850,0.840
2022-12-10,0.910,0.900,0.890,0.860
2022-12-11,0.92
