Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LOS NARANJOS
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,BAGUA GRANDE
Latitud :,5°45'20.46'',Longitud :,78°25'53.55'',Altitud :,427 msnm.
Tipo :,HLG - Hidrológica,Código :,221501
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-01-01,2.000,2.000,1.910,1.870
2025-01-02,2.500,1.950,2.100,2.300
2025-01-03,2.410,2.410,2.250,2.250
2025-01-04,2.100,2.100,2.100,2.090
2025-01-05,2.100,2.100,2.050,2.000
2025-01-06,2.100,2.100,2.130,2.150
2025-01-07,2.140,2.110,2.040,1.990
2025-01-08,2.090,2.090,2.070,2.020
2025-01-09,2.060,2.060,2.030,2.000
2025-01-10,1.900,1.880,1.840,1.840
2025-01-11,1.790,1.790,1.760,1.750
2025-01-12,1.720,1.710,1.700,1.700
2025-01-13,1.650,1.650,1.630,1.630
2025-01-14,1.700,1.670,1.650,1.650
2025-01-15,1.650,1.640,1.620,1.600
2025-01-16,1.640,1.670,1.650,1.620
2025-01-17,1.560,1.590,1.560,1.550
2025-01-18,1.510,1.510,1.510,1.510
2025-01-19,1.490,1.490,1.450,1.460
2025-01-20,1.460,1.460,1.460,1.460
2025-01-21,1.440,1.480,1.500,1.500
2025-01-22,1.560,1.560,1.510,1.500
2025-01-23,1.480,1.480,1.450,1.440
2025-01-24,1.400,1.390,1.380,1.380
2025-01-25,1.360,1.360,1.340,1.340
2025-01-26,1.360,1.350,1.350,1.370
2025-01-27,1.490,1.580,1.570,1.570
2025-01-28,1.860,1.990,2.050,2.050
2025-01-29,2.300,2.240,2.140,2.140
2025-01-30,2.160,2.100,1.990,1.940
2025-01-31,1.830,1.800,1.770,1.760
