Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-11-01,0.91,0.91,0.91,0.91,0.91
2020-11-02,0.90,0.90,0.90,0.90,0.90
2020-11-03,0.90,0.90,0.89,0.89,0.90
2020-11-04,0.89,0.89,0.89,0.89,0.89
2020-11-05,0.89,0.89,0.89,0.89,0.89
2020-11-06,0.89,1.05,1.07,1.03,1.01
2020-11-07,0.94,0.91,0.90,0.90,0.91
2020-11-08,0.90,0.90,0.89,0.89,0.90
2020-11-09,0.89,0.89,0.89,0.89,0.89
2020-11-10,0.89,0.89,0.89,0.88,0.89
2020-11-11,0.88,0.94,1.12,1.07,1.00
2020-11-12,0.98,0.96,0.95,0.93,0.96
2020-11-13,0.93,0.93,0.92,0.92,0.93
2020-11-14,1.05,1.01,0.98,0.96,1.00
2020-11-15,0.93,1.11,1.06,1.03,1.03
2020-11-16,1.03,1.06,1.03,1.02,1.04
2020-11-17,1.08,1.07,1.06,1.04,1.06
2020-11-18,1.03,1.09,1.05,1.03,1.05
2020-11-19,1.25,1.23,1.22,1.16,1.22
2020-11-20,1.14,1.14,1.13,1.09,1.13
2020-11-21,1.13,1.12,1.09,1.07,1.10
2020-11-22,1.03,1.02,1.07,1.15,1.07
2020-11-23,1.09,1.06,1.04,1.03,1.06
2020-11-24,1.00,0.98,0.98,0.97,0.98
2020-11-25,0.95,0.95,0.95,0.94,0.95
2020-11-26,0.93,0.93,0.93,0.93,0.93
2020-11-27,0.92,0.92,0.92,0.92,0.92
2020-11-28,0.92,0.92,0.92,0.91,0.92
2020-11-29,0.91,0.91,0.91,0.91,0.91
2020-11-30,1.02,1.00,0.97,0.96,0.99
