Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-03-01,1.57,1.60,1.89,1.73,1.70
2024-03-02,1.48,1.41,1.34,1.30,1.38
2024-03-03,1.44,1.34,1.24,1.23,1.31
2024-03-04,1.40,1.40,1.41,1.51,1.43
2024-03-05,1.45,1.39,1.37,1.32,1.38
2024-03-06,1.37,1.24,1.22,1.22,1.26
2024-03-07,1.25,1.23,1.22,1.21,1.23
2024-03-08,1.21,1.21,1.20,1.20,1.21
2024-03-09,1.30,1.27
