Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : CHIRIACO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,IMAZA
Latitud :,5°9'41.2'',Longitud :,78°17'17'',Altitud :,323 msnm.
Tipo :,CO - Meteorológica,Código :,105104
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,29,S/D,88.8,4.8
2020-03-02,32,S/D,81.1,2.5
2020-03-03,32.4,S/D,83.4,72.0
2020-03-04,32.4,S/D,91.0,15.8
2020-03-05,32.5,S/D,90.4,9.7
2020-03-06,31,S/D,84.1,11.0
2020-03-07,32.8,S/D,82.9,3.3
2020-03-08,33.8,S/D,78.7,11.5
2020-03-09,27.8,S/D,92.9,8.9
2020-03-10,30.4,S/D,85.0,4.6
2020-03-11,27.8,S/D,91.4,1.7
2020-03-12,33.6,S/D,82.2,0.0
2020-03-13,35.4,S/D,79.5,34.9
2020-03-14,29.6,S/D,89.9,0.0
2020-03-15,34,S/D,80.6,S/D
2020-03-16,S/D,S/D,S/D,S/D
2020-03-17,S/D,S/D,S/D,S/D
2020-03-18,S/D,S/D,S/D,S/D
2020-03-19,S/D,S/D,S/D,S/D
2020-03-20,S/D,S/D,S/D,S/D
2020-03-21,S/D,S/D,S/D,S/D
2020-03-22,S/D,S/D,S/D,S/D
2020-03-23,S/D,S/D,S/D,S/D
2020-03-24,S/D,S/D,S/D,S/D
2020-03-25,S/D,S/D,S/D,S/D
2020-03-26,S/D,S/D,S/D,S/D
2020-03-27,S/D,S/D,S/D,S/D
2020-03-28,S/D,S/D,S/D,S/D
2020-03-29,S/D,S/D,S/D,S/D
2020-03-30,S/D,S/D,S/D,S/D
2020-03-31,S/D,S/D,S/D,S/D
