Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : CHIRIACO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,IMAZA
Latitud :,5°9'41.2'',Longitud :,78°17'17'',Altitud :,323 msnm.
Tipo :,CO - Meteorológica,Código :,105104
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-05-01,S/D,S/D,S/D,S/D
2022-05-02,S/D,S/D,S/D,S/D
2022-05-03,S/D,S/D,S/D,S/D
2022-05-04,28.2,S/D,88.4,29.9
2022-05-05,26.4,S/D,95.1,14.0
2022-05-06,29.8,S/D,92.3,0.5
2022-05-07,30.6,S/D,87.3,5.2
2022-05-08,29.9,S/D,87.1,0.0
2022-05-09,30.4,S/D,85.8,0.0
2022-05-10,28.5,S/D,90.0,14.3
2022-05-11,30.6,S/D,85.8,18.4
2022-05-12,30.4,S/D,88.1,12.4
2022-05-13,29.5,S/D,86.5,2.4
2022-05-14,29,S/D,88.9,16.6
2022-05-15,26.5,S/D,92.0,10.9
2022-05-16,26,S/D,94.4,6.1
2022-05-17,26.4,S/D,93.6,5.2
2022-05-18,26.2,S/D,96.1,8.0
2022-05-19,26.5,S/D,93.9,0.0
2022-05-20,28,S/D,84.5,0.0
2022-05-21,31.7,S/D,84.2,0.0
2022-05-22,29.6,S/D,83.5,0.0
2022-05-23,31.4,S/D,84.3,3.2
2022-05-24,28.2,S/D,88.7,2.3
2022-05-25,29.3,S/D,90.0,4.4
2022-05-26,28.6,S/D,88.0,7.4
2022-05-27,28,S/D,88.1,5.2
2022-05-28,27.2,S/D,91.9,2.5
2022-05-29,30.8,S/D,84.1,0.0
2022-05-30,32.6,S/D,82.4,0.0
2022-05-31,29,S/D,89.6,1.9
