Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : ENAPU PERU
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/04/01,08:00,S/D,0.0
2022/04/01,09:00,S/D,0.0
2022/04/01,10:00,S/D,0.0
2022/04/01,11:00,S/D,0.0
2022/04/01,12:00,S/D,3.0
2022/04/01,13:00,S/D,0.0
2022/04/01,14:00,S/D,0.0
2022/04/01,15:00,S/D,0.0
2022/04/01,16:00,S/D,0.0
2022/04/01,17:00,S/D,0.0
2022/04/01,18:00,S/D,0.0
2022/04/01,19:00,S/D,0.0
2022/04/01,20:00,S/D,0.0
2022/04/01,21:00,S/D,0.0
2022/04/01,22:00,S/D,S/D
2022/04/02,08:00,S/D,0.0
2022/04/02,09:00,S/D,0.0
2022/04/02,10:00,S/D,0.0
2022/04/02,11:00,S/D,0.0
2022/04/02,12:00,S/D,0.0
2022/04/02,13:00,S/D,0.0
2022/04/02,14:00,S/D,0.0
2022/04/02,15:00,S/D,0.0
2022/04/02,16:00,S/D,0.0
2022/04/02,17:00,S/D,0.0
2022/04/02,18:00,S/D,0.0
2022/04/02,19:00,S/D,0.0
2022/04/02,20:00,S/D,0.0
2022/04/02,21:00,S/D,S/D
2022/04/03,07:00,S/D,0.0
2022/04/03,08:00,S/D,0.0
2022/04/03,09:00,S/D,0.0
2022/04/03,10:00,S/D,0.0
2022/04/03,11:00,S/D,0.0
2022/04/03,12:00,S/D,0.0
2022/04/03,13:00,S/D,0.0
2022/04/03,14:00,S/D,0.0
2022/04/03,15:00,S/D,0.0
2022/04/03,16:00,S/D,0.0
2022/04/03,17:00,S/D,0.0
2022/04/03,18:00,S/D,0.0
2022/04/03,19:00,S/D,0.0
2022/04/04,07:00,S/D,0.0
2022/04/04,15:00,S/D,0.0
2022/04/04,16:00,S/D,0.0
2022/04/04,17:00,S/D,0.0
2022/04/05,08:00,S/D,0.0
2022/04/05,15:00,S/D,0.0
2022/04/05,16:00,S/D,0.0
2022/04/05,17:00,S/D,0.0
2022/04/06,09:00,S/D,0.0
2022/04/06,15:00,S/D,0.0
2022/04/06,16:00,S/D,0.0
2022/04/06,17:00,S/D,0.0
2022/04/06,18:00,S/D,S/D
2022/04/07,08:00,S/D,0.0
2022/04/07,09:00,S/D,0.0
2022/04/07,14:00,S/D,0.0
2022/04/07,15:00,S/D,0.0
2022/04/07,16:00,S/D,0.0
2022/04/07,17:00,S/D,0.0
2022/04/07,18:00,S/D,0.0
2022/04/07,19:00,S/D,0.0
2022/04/08,08:00,S/D,0.0
2022/04/08,12:00,S/D,0.0
2022/04/08,15:00,S/D,0.0
2022/04/08,16:00,S/D,0.0
2022/04/08,17:00,S/D,0.0
2022/04/08,18:00,S/D,0.0
2022/04/09,09:00,S/D,0.0
