Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : AMAZONAS
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,BELEN
Latitud :,3°46'.58'',Longitud :,73°15'11.07'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240503
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-10-01,8.52,8.48,8.45,8.40,8.46
2023-10-02,8.38,8.38,8.38,8.38,8.38
2023-10-03,8.36,8.36,8.36,8.35,8.36
2023-10-04,8.32,8.34,8.35,8.35,8.34
2023-10-05,8.36,8.37,8.39,8.40,8.38
2023-10-06,8.41,8.43,8.45,8.47,8.44
2023-10-07,8.49,8.52,8.55,8.58,8.54
2023-10-08,8.61,8.61,8.61,8.61,8.61
2023-10-09,8.63,8.61,8.61,8.60,8.61
2023-10-10,8.58,8.56,8.54,8.52,8.55
2023-10-11,8.51,8.50,8.48,8.45,8.49
2023-10-12,8.43,8.43,8.43,8.42,8.43
2023-10-13,8.40,8.40,8.40,8.40,8.40
2023-10-14,8.42,8.44,8.46,8.46,8.45
2023-10-15,8.48,8.51,8.54,8.56,8.52
2023-10-16,8.58,8.60,8.63,8.69,8.63
2023-10-17,8.75,8.78,8.81,8.88,8.81
2023-10-18,8.95,8.97,9.00,9.03,8.99
2023-10-19,9.08,9.18,9.32,9.40,9.25
2023-10-20,9.44,9.50,9.55,9.61,9.53
2023-10-21,9.65,9.67,9.68,9.68,9.67
2023-10-22,9.70,9.70,9.70,9.70,9.70
2023-10-23,9.68,9.68,9.68,9.68,9.68
2023-10-24,9.70,9.70,9.68,9.66,9.69
2023-10-25,9.65,9.65,9.65,9.65,9.65
2023-10-26,9.64,9.64,9.63,9.62,9.63
2023-10-27,9.61,9.60,9.58,9.56,9.59
2023-10-28,9.54,9.52,9.50,9.50,9.52
2023-10-29,9.48,9.46,9.44,9.39,9.44
2023-10-30,9.35,9.33,9.30,9.29,9.32
2023-10-31,9.27,9.31,9.42,9.48,9.37
