Estación : AMAZONAS
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,BELEN
Latitud :,3°46'.58'',Longitud :,73°15'11.07'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240503
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-08-01,13.37,13.36,13.34,13.31,13.35
2025-08-02,13.24,13.25,13.25,13.26,13.25
2025-08-03,13.25,13.25,13.25,13.25,13.25
2025-08-04,13.25,13.25,13.24,13.23,13.24
2025-08-05,13.24,13.21,13.20,13.19,13.21
2025-08-06,13.17,13.17,13.16,13.15,13.16
2025-08-07,13.15,13.15,13.16,13.16,13.16
2025-08-08,13.17,13.17,13.18,13.18,13.18
2025-08-09,13.17,13.17,13.18,13.18,13.18
2025-08-10,13.22,13.26,13.28,13.28,13.26
2025-08-11,13.55,13.56,13.58,13.60,13.57
2025-08-12,13.65,13.64,13.62,13.60,13.63
2025-08-13,13.54,13.50,13.48,13.45,13.49
2025-08-14,13.32,13.30,13.28,13.25,13.29
2025-08-15,13.16,13.16,13.16,13.16,13.16
2025-08-16,13.18,13.19,13.21,13.23,13.20
2025-08-17,13.24,13.23,13.15,13.25,13.22
2025-08-18,13.36,13.36,13.37,13.37,13.37
2025-08-19,13.43,13.44,13.44,13.45,13.44
2025-08-20,13.48,13.49,13.50,13.50,13.49
2025-08-21,13.52,13.52,13.51,13.51,13.52
2025-08-22,13.48,13.46,13.44,13.43,13.45
2025-08-23,13.37,13.35,13.33,13.30,13.34
2025-08-24,13.15,13.10,13.05,13.00,13.08
2025-08-25,12.95,12.92,12.88,12.84,12.90
2025-08-26,12.71,12.68,12.64,12.61,12.66
2025-08-27,12.45,12.41,12.37,12.34,12.39
2025-08-28,12.23,12.19,12.15,12.11,12.17
2025-08-29,12.03,12.00,11.96,11.92,11.98
2025-08-30,11.93,11.95,11.96,11.98,11.96
