Estación : ANGAMOS
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-05-01,14.53,14.53,14.53,14.53,14.53
2019-05-02,14.53,14.53,14.52,13.51,14.27
2019-05-03,14.50,14.48,14.46,14.43,14.47
2019-05-04,14.40,14.35,14.30,14.20,14.31
2019-05-05,14.13,14.10,14.05,14.00,14.07
2019-05-06,13.96,13.90,13.85,13.81,13.88
2019-05-07,13.62,13.56,13.50,13.40,13.52
