Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : ANGAMOS
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-09-01,2.02,1.93,1.85,1.79,1.90
2025-09-02,1.74,1.71,1.68,1.66,1.70
2025-09-03,1.64,1.64,1.63,1.63,1.64
2025-09-04,1.62,1.62,1.64,1.65,1.63
2025-09-05,1.68,1.70,1.73,1.76,1.72
2025-09-06,1.79,1.82,1.85,1.88,1.84
2025-09-07,1.91,1.94,1.96,2.03,1.96
2025-09-08,2.07,2.19,2.30,2.43,2.25
2025-09-09,2.62,2.72,2.81,2.88,2.76
2025-09-10,2.98,2.99,2.99,2.99,2.99
2025-09-11,2.98,3.03,3.06,3.09,3.04
2025-09-12,3.15,3.17,3.19,3.21,3.18
2025-09-13,3.25,3.24,3.24,3.23,3.24
2025-09-14,3.23,3.23,3.22,3.21,3.22
2025-09-15,3.20,3.04,2.88,2.75,2.97
2025-09-16,2.57,2.51,2.46,2.41,2.49
2025-09-17,2.35,2.29,2.21,2.15,2.25
2025-09-18,2.09,2.02,1.95,1.89,1.99
2025-09-19,1.77,1.69,1.65,1.61,1.68
2025-09-20,1.56,1.57,1.58,1.58,1.57
2025-09-21,1.55,1.52,1.47,1.43,1.49
2025-09-22,1.32,1.24,1.18,1.10,1.21
2025-09-23,1.00,0.82,0.65,0.50,0.74
2025-09-24,0.33,0.25,0.19,0.15,0.23
2025-09-25,0.21,0.39,0.52,0.63,0.44
2025-09-26,0.78,0.80,0.81,0.82,0.80
2025-09-27,0.83,0.83,0.84,0.85,0.84
2025-09-28,0.87,0.89,0.91,0.93,0.90
2025-09-29,0.97,0.97,0.98,0.98,0.98
2025-09-30,0.98,1.05,1.10,1.14,1.07
