Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BELLAVISTA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-07-01,6.37,6.36,6.35,6.34,6.36
2024-07-02,6.31,6.25,6.23,6.18,6.24
2024-07-03,6.10,6.10,6.08,6.06,6.09
2024-07-04,6.02,5.98,5.96,5.96,5.98
2024-07-05,5.93,5.93,5.93,5.93,5.93
2024-07-06,5.90,5.88,5.86,5.84,5.87
2024-07-07,5.79,5.79,5.77,5.77,5.78
2024-07-08,5.74,5.76,5.78,5.80,5.77
2024-07-09,5.86,5.87,5.88,5.88,5.87
2024-07-10,5.93,5.96,5.99,6.02,5.98
2024-07-11,6.12,6.14,6.16,6.18,6.15
2024-07-12,6.23,6.27,6.31,6.35,6.29
2024-07-13,6.74,6.76,6.78,6.80,6.77
2024-07-14,6.88,6.86,6.84,6.79,6.84
2024-07-15,6.70,6.67,6.64,6.61,6.66
2024-07-16,6.57,6.57,6.57,6.57,6.57
2024-07-17,6.49,6.47,6.44,6.41,6.45
2024-07-18,6.35,6.35,6.36,6.36,6.36
2024-07-19,6.38,6.37,6.33,6.33,6.35
2024-07-20,6.29,6.28,6.26,6.24,6.27
2024-07-21,6.20,6.20,6.20,6.20,6.20
2024-07-22,6.15,6.17,6.19,6.21,6.18
2024-07-23,6.25,6.24,6.24,6.23,6.24
2024-07-24,6.18,6.16,6.14,6.11,6.15
2024-07-25,6.05,6.04,6.02,5.99,6.03
2024-07-26,5.94,5.94,5.93,5.93,5.94
2024-07-27,5.90,5.85,5.81,5.78,5.84
2024-07-28,5.64,5.61,5.57,5.54,5.59
2024-07-29,5.38,5.34,5.29,5.25,5.32
2024-07-30,5.10,5.05,4.99,4.95,5.02
2024-07-31,4.89,4.84,4.79,4.75,4.82
