Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BORJA
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,MANSERICHE
Latitud :,4°28'12'',Longitud :,77°32'52.8'',Altitud :,152 msnm.
Tipo :,HLM - Hidrológica,Código :,220107
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-02-01,5.78,5.68,5.64,5.50,5.65
2025-02-02,5.50,5.48,5.52,5.52,5.51
2025-02-03,5.40,5.28,5.20,5.18,5.27
2025-02-04,5.48,5.52,5.55,5.60,5.54
2025-02-05,5.95,6.04,6.02,6.02,6.01
2025-02-06,6.12,6.18,6.30,6.60,6.30
2025-02-07,8.10,8.20,8.25,8.30,8.21
2025-02-08,8.28,8.25,8.22,8.18,8.23
2025-02-09,8.20,8.20,8.10,8.05,8.14
2025-02-10,7.70,7.50,7.40,7.30,7.48
2025-02-11,7.20,7.20,7.15,7.08,7.16
2025-02-12,6.85,6.88,6.95,7.28,6.99
2025-02-13,7.84,7.90,7.98,8.10,7.96
2025-02-14,8.20,8.15,8.12,8.08,8.14
2025-02-15,8.05,8.02,7.98,7.95,8.00
2025-02-16,7.95,7.92,7.90,7.88,7.91
2025-02-17,7.82,7.80,7.78,7.75,7.79
2025-02-18,7.30,7.25,7.15,7.05,7.19
2025-02-19,7.05,7.10,7.20,7.25,7.15
2025-02-20,7.65,7.68,7.70,7.72,7.69
2025-02-21,7.72,7.72,7.68,7.68,7.70
2025-02-22,7.70,7.68,7.65,7.60,7.66
2025-02-23,7.44,7.40,7.30,7.10,7.31
2025-02-24,7.05,7.05,7.02,7.08,7.05
2025-02-25,7.08,7.02,7.05,7.10,7.06
2025-02-26,7.70,7.70,7.72,7.72,7.71
2025-02-27,7.68,7.65,7.60,7.55,7.62
2025-02-28,7.38,7.32,7.22,7.12,7.26
