Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : CONTAMANA
Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
Latitud :,7°21'6.46'',Longitud :,75°0'39.06'',Altitud :,134 msnm.
Tipo :,HLM - Hidrológica,Código :,251102
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-03-01,11.98,11.98,11.99,11.99,11.99
2023-03-02,12.00,12.00,11.98,11.98,11.99
2023-03-03,11.95,11.89,11.83,11.80,11.87
2023-03-04,11.74,11.70,11.63,11.52,11.65
2023-03-05,11.48,11.44,11.38,11.26,11.39
2023-03-06,11.16,11.15,11.14,11.11,11.14
2023-03-07,11.10,11.09,11.08,11.08,11.09
2023-03-08,11.04,11.04,11.03,11.02,11.03
2023-03-09,10.96,10.93,10.92,10.90,10.93
2023-03-10,10.86,10.85,10.84,10.82,10.84
2023-03-11,10.78,10.80,10.82,10.84,10.81
2023-03-12,10.88,10.89,10.90,10.92,10.90
2023-03-13,10.99,11.02,11.04,11.06,11.03
2023-03-14,11.12,11.12,11.13,11.14,11.13
2023-03-15,11.20,11.21,11.23,11.24,11.22
2023-03-16,11.27,11.27,11.28,11.28,11.28
2023-03-17,11.25,11.25,11.25,11.25,11.25
2023-03-18,11.24,11.24,11.24,11.24,11.24
2023-03-19,11.23,11.23,11.23,11.23,11.23
2023-03-20,11.23,11.23,11.23,11.23,11.23
2023-03-21,11.23,11.23,11.24,11.25,11.24
2023-03-22,11.31,11.31,11.31,11.31,11.31
2023-03-23,11.30,11.30,11.31,11.31,11.31
2023-03-24,11.31,11.32,11.34,11.35,11.33
2023-03-25,11.38,11.38,11.38,11.38,11.38
2023-03-26,11.38,11.38,11.39,11.39,11.39
2023-03-27,11.40,11.41,11.43,11.45,11.42
2023-03-28,11.48,11.48,11.49,11.50,11.49
2023-03-29,11.53,11.53,11.54,11.55,11.54
2023-03-30,11.57,11.57,11.58,11.58,11.58
2023-03-31,11.58,11.58,11.59,11.60,11.59
