Estación : CONTAMANA
Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
Latitud :,7°21'6.46'',Longitud :,75°0'39.06'',Altitud :,134 msnm.
Tipo :,HLM - Hidrológica,Código :,251102
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-05-01,10.28,10.25,10.22,10.19,10.24
2024-05-02,10.09,10.07,10.05,10.03,10.06
2024-05-03,9.92,9.90,9.88,9.86,9.89
2024-05-04,9.72,9.70,9.68,9.66,9.69
2024-05-05,9.54,9.53,9.52,9.51,9.53
2024-05-06,9.48,9.50,9.52,9.54,9.51
2024-05-07,9.65,9.66,9.67,9.68,9.67
2024-05-08,9.72,9.72,9.72,9.72,9.72
2024-05-09,9.71,9.70,9.69,9.68,9.70
2024-05-10,9.61,9.60,9.58,9.56,9.59
2024-05-11,9.50,9.48,9.46,9.44,9.47
2024-05-12,9.36,9.34,9.31,9.30,9.33
2024-05-13,9.18,9.17,9.16,9.15,9.17
2024-05-14,9.06,9.05,9.04,9.03,9.05
2024-05-15,8.94,8.92,8.90,8.88,8.91
2024-05-16,8.88,8.90,8.92,8.94,8.91
2024-05-17,9.08,9.09,9.10,9.11,9.10
2024-05-18,9.10,9.10,9.10,9.10,9.10
2024-05-19,9.10,9.10,9.10,9.10,9.10
2024-05-20,9.08,9.08,9.08,9.08,9.08
2024-05-21,8.99,8.98,8.97,8.96,8.98
2024-05-22,8.82,8.62,8.78,8.76,8.75
2024-05-23,8.64,8.45,8.60,8.58,8.57
2024-05-24,8.48,8.34,8.44,8.42,8.42
2024-05-25,8.36,8.22,8.32,8.30,8.30
2024-05-26,8.20,8.20,8.24,8.26,8.23
2024-05-27,8.21,8.20,8.19,8.18,8.20
2024-05-28,8.20,8.44,8.20,8.20,8.26
2024-05-29,8.15,8.13,8.13,8.12,8.13
2024-05-30,8.12,8.14,8.14,8.15,8.14
