Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL ESTRECHO
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2016-04-01,9.24,9.25,9.26,9.28,9.26
2016-04-02,9.32,9.32,9.32,9.32,9.32
2016-04-03,9.35,9.35,9.35,9.35,9.35
2016-04-04,9.37,9.37,9.37,9.37,9.37
2016-04-05,9.37,9.37,9.37,9.37,9.37
2016-04-06,9.37,9.37,9.37,9.37,9.37
2016-04-07,9.35,9.34,9.33,9.32,9.34
2016-04-08,9.30,9.30,9.30,9.30,9.30
2016-04-09,9.20,9.28,9.28,9.28,9.26
2016-04-10,9.30,9.31,9.32,9.33,9.32
2016-04-11,9.35,9.36,9.37,9.38,9.37
2016-04-12,9.36,9.35,9.33,9.31,9.34
2016-04-13,9.28,9.27,9.26,9.24,9.26
2016-04-14,9.20,9.19,9.18,9.20,9.19
2016-04-15,9.15,9.14,9.14,9.14,9.14
2016-04-16,9.13,9.13,9.13,9.13,9.13
2016-04-17,9.13,9.13,9.13,9.13,9.13
2016-04-18,9.14,9.14,9.14,9.14,9.14
2016-04-19,9.14,9.15,9.15,9.15,9.15
2016-04-20,9.15,9.16,9.17,9.17,9.16
2016-04-21,9.18,9.18,9.19,9.19,9.19
2016-04-22,9.20,9.20,9.20,9.20,9.20
2016-04-23,9.22,9.23,9.24,9.25,9.24
2016-04-24,9.26,9.28,9.30,9.32,9.29
2016-04-25,9.33,9.31,9.29,9.27,9.30
2016-04-26,9.24,9.20,9.18,9.14,9.19
2016-04-27,9.08,9.05,9.03,9.01,9.04
2016-04-28,8.99,8.97,8.96,8.95,8.97
2016-04-29,8.93,8.93,8.92,8.92,8.93
2016-04-30,8.90,8.89,8.88,8.87,8.89
