Estación : EL ESTRECHO
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2017-04-01,8.28,8.30,8.30,8.31,8.30
2017-04-02,8.33,8.34,8.36,8.38,8.35
2017-04-03,8.40,8.40,8.41,8.41,8.41
2017-04-04,8.42,8.38,8.34,8.30,8.36
2017-04-05,8.24,8.20,8.17,8.14,8.19
2017-04-06,8.10,8.07,8.04,8.00,8.05
2017-04-07,8.16,8.18,8.20,8.22,8.19
2017-04-08,8.30,8.34,8.38,8.42,8.36
2017-04-09,8.46,8.48,8.50,8.52,8.49
2017-04-10,8.56,8.56,8.57,8.57,8.57
2017-04-11,8.60,8.60,8.61,8.62,8.61
2017-04-12,8.64,8.64,8.65,8.65,8.65
2017-04-13,8.68,8.64,8.60,8.56,8.62
2017-04-14,8.42,8.40,8.38,8.36,8.39
2017-04-15,8.30,8.30,8.29,8.28,8.29
2017-04-16,8.25,8.24,8.24,8.23,8.24
2017-04-17,8.20,8.18,8.15,8.12,8.16
2017-04-18,8.00,7.98,7.96,7.94,7.97
2017-04-19,7.82,7.80,7.78,7.75,7.79
2017-04-20,7.64,7.66,7.68,7.70,7.67
2017-04-21,7.76,7.80,7.84,7.88,7.82
2017-04-22,8.10,8.14,8.18,8.22,8.16
2017-04-23,8.41,8.45,8.50,8.56,8.48
2017-04-24,8.78,8.82,8.86,8.90,8.84
2017-04-25,9.04,9.06,9.08,9.10,9.07
2017-04-26,9.15,9.15,9.16,9.16,9.16
2017-04-27,9.18,9.23,9.28,9.35,9.26
2017-04-28,9.74,9.80,9.86,9.94,9.84
