Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'27.64'',Longitud :,74°9'24.71'',Altitud :,103 msnm.
Tipo :,HLM - Hidrológica,Código :,251100
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-12-01,9.58,9.58,9.57,9.56,9.57
2019-12-02,9.53,9.52,9.51,9.50,9.52
2019-12-03,9.44,9.44,9.42,9.40,9.43
2019-12-04,9.36,9.34,9.32,9.31,9.33
2019-12-05,9.27,9.27,9.27,9.27,9.27
2019-12-06,9.22,9.28,9.36,9.40,9.32
2019-12-07,9.51,9.58,9.62,9.65,9.59
2019-12-08,9.85,9.99,10.05,10.12,10.00
2019-12-09,10.36,10.46,10.56,10.65,10.51
2019-12-10,10.90,10.99,11.08,11.13,11.03
2019-12-11,11.22,11.34,11.38,11.43,11.34
2019-12-12,11.52,11.52,11.56,11.63,11.56
2019-12-13,11.68,11.69,11.70,11.73,11.70
2019-12-14,11.78,11.82,11.86,11.90,11.84
2019-12-15,11.90,11.92,11.94,11.97,11.93
2019-12-16,12.05,12.06,12.08,12.10,12.07
2019-12-17,12.16,12.18,12.20,12.22,12.19
2019-12-18,12.29,12.32,12.34,12.36,12.33
2019-12-19,12.42,12.43,12.44,12.46,12.44
2019-12-20,12.50,12.52,12.54,12.56,12.53
2019-12-21,12.60,12.60,12.60,12.60,12.60
2019-12-22,12.66,12.67,12.67,12.67,12.67
2019-12-23,12.68,12.70,12.72,12.74,12.71
2019-12-24,12.78,12.78,12.79,12.80,12.79
2019-12-25,12.86,12.86,12.86,12.86,12.86
2019-12-26,12.92,12.92,12.93,12.94,12.93
2019-12-27,12.99,12.99,13.02,13.03,13.01
2019-12-28,13.06,13.07,13.08,13.09,13.08
2019-12-29,13.10,13.12,13.14,13.16,13.13
2019-12-30,13.20,13.22,13.24,13.25,13.23
2019-12-31,13.27,13.27,13.28,13.29,13.28
