Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : GENARO HERRERA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-10-01,4.24,4.24,4.24,4.24,4.24
2024-10-02,4.24,4.24,4.23,4.22,4.23
2024-10-03,4.20,4.20,4.20,4.20,4.20
2024-10-04,4.18,4.18,4.18,4.18,4.18
2024-10-05,4.18,4.17,4.17,4.17,4.17
2024-10-06,4.17,4.17,4.17,4.17,4.17
2024-10-07,4.17,4.18,4.18,4.21,4.19
2024-10-08,4.28,4.35,4.37,4.40,4.35
2024-10-09,4.45,4.47,4.50,4.53,4.49
2024-10-10,4.58,4.65,4.68,4.71,4.66
2024-10-11,4.76,4.78,4.80,4.83,4.79
2024-10-12,4.87,4.89,4.92,4.92,4.90
2024-10-13,4.92,4.92,4.92,4.92,4.92
2024-10-14,4.92,4.92,4.92,4.92,4.92
2024-10-15,4.92,4.92,4.92,4.92,4.92
2024-10-16,4.90,4.91,4.91,4.91,4.91
2024-10-17,4.92,4.93,4.93,4.93,4.93
2024-10-18,4.93,4.93,4.93,4.93,4.93
2024-10-19,4.94,4.94,4.94,4.95,4.94
2024-10-20,4.96,4.96,4.96,4.97,4.96
2024-10-21,5.03,5.05,5.05,5.06,5.05
2024-10-22,5.08,5.09,5.10,5.12,5.10
2024-10-23,5.14,5.14,5.15,5.17,5.15
2024-10-24,5.17,5.17,5.19,5.21,5.19
2024-10-25,5.25,5.25,5.27,5.27,5.26
2024-10-26,5.25,5.25,5.24,5.24,5.25
2024-10-27,5.21,5.21,5.21,5.21,5.21
2024-10-28,5.24,5.25,5.25,5.28,5.26
2024-10-29,5.36,5.39,5.43,5.47,5.41
2024-10-30,5.58,5.61,5.64,5.70,5.63
2024-10-31,5.78,5.86,5.94,5.97,5.89
