Estación : GENARO HERRERA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-09-01,6.78,6.78,6.76,6.76,6.77
2025-09-02,6.75,6.73,6.73,6.71,6.73
2025-09-03,6.67,6.66,6.65,6.65,6.66
2025-09-04,6.60,6.60,6.58,6.58,6.59
2025-09-05,6.53,6.53,6.52,6.50,6.52
2025-09-06,6.46,6.46,6.45,6.45,6.46
2025-09-07,6.48,6.49,6.51,6.53,6.50
2025-09-08,6.50,6.50,6.49,6.48,6.49
2025-09-09,6.45,6.44,6.42,6.42,6.43
2025-09-10,6.38,6.38,6.35,6.34,6.36
2025-09-11,6.32,6.32,6.32,6.32,6.32
2025-09-12,6.35,6.37,6.37,6.37,6.37
2025-09-13,6.38,6.39,6.39,6.39,6.39
2025-09-14,6.38,6.37,6.36,6.36,6.37
2025-09-15,6.45,6.43,6.44,6.44,6.44
