Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-04-01,4.25,4.25,4.25,4.25,4.25
2024-04-02,4.26,4.25,4.25,4.24,4.25
2024-04-03,4.24,4.24,4.24,4.27,4.25
2024-04-04,4.35,4.39,4.41,4.42,4.39
2024-04-05,4.55,4.60,4.65,4.70,4.63
2024-04-06,4.75,4.77,4.80,4.82,4.79
2024-04-07,4.91,4.93,4.93,4.97,4.94
2024-04-08,5.02,5.02,5.03,5.05,5.03
2024-04-09,5.22,5.22,5.24,5.25,5.23
2024-04-10,5.30,5.31,5.33,5.36,5.33
2024-04-11,5.37,5.37,5.37,5.41,5.38
2024-04-12,5.43,5.43,5.45,5.45,5.44
2024-04-13,5.50,5.50,5.50,5.50,5.50
2024-04-14,5.50,5.50,5.49,5.48,5.49
2024-04-15,5.48,5.48,5.48,5.48,5.48
2024-04-16,5.49,5.49,5.48,5.47,5.48
2024-04-17,5.45,5.43,5.42,5.41,5.43
2024-04-18,5.37,5.35,5.34,5.31,5.34
2024-04-19,5.32,5.33,5.35,5.36,5.34
2024-04-20,5.36,5.34,5.32,5.30,5.33
2024-04-21,5.22,5.22,5.20,5.19,5.21
2024-04-22,5.26,5.26,5.25,5.24,5.25
2024-04-23,5.24,5.24,5.24,5.24,5.24
2024-04-24,5.26,5.28,5.31,5.34,5.30
2024-04-25,5.34,5.32,5.31,5.30,5.32
2024-04-26,5.59,5.65,5.70,5.79,5.68
2024-04-27,5.87,5.89,5.91,5.92,5.90
2024-04-28,5.98,5.00,6.01,6.02,5.75
2024-04-29,6.07,6.07,6.07,6.07,6.07
2024-04-30,6.05,6.05,6.05,6.05,6.05
