Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-10-01,1.59,1.54,1.52,1.51,1.54
2024-10-02,1.45,1.40,1.37,1.35,1.39
2024-10-03,1.20,1.18,1.16,1.14,1.17
2024-10-04,1.09,1.06,1.03,1.02,1.05
2024-10-05,1.02,1.02,1.02,1.02,1.02
2024-10-06,1.02,1.02,1.02,1.02,1.02
2024-10-07,1.04,1.05,1.04,1.09,1.06
2024-10-08,1.13,1.14,1.17,1.19,1.16
2024-10-09,1.27,1.24,1.25,1.26,1.26
2024-10-10,1.26,1.26,1.26,1.26,1.26
2024-10-11,1.20,1.20,1.17,1.16,1.18
2024-10-12,1.10,1.08,1.05,1.03,1.07
2024-10-13,1.01,1.04,1.06,1.06,1.04
2024-10-14,1.16,1.19,1.22,1.26,1.21
2024-10-15,1.30,1.35,1.41,1.41,1.37
2024-10-16,1.16,1.13,1.10,1.14,1.13
2024-10-17,1.06,1.09,1.06,1.03,1.06
2024-10-18,1.14,1.14,1.14,1.15,1.14
2024-10-19,1.15,1.15,1.15,1.15,1.15
2024-10-20,1.16,1.16,1.16,1.16,1.16
2024-10-21,1.16,1.16,1.16,1.17,1.16
2024-10-22,1.20,1.20,1.20,1.20,1.20
2024-10-23,1.16,1.13,1.09,1.05,1.11
2024-10-24,0.94,0.90,0.87,0.85,0.89
2024-10-25,0.79,0.70,0.61,0.79,0.72
2024-10-26,0.85,0.87,0.88,0.92,0.88
