Estación : LAGUNAS
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,LAGUNAS
Latitud :,5°13'1.62'',Longitud :,75°40'4.42'',Altitud :,118 msnm.
Tipo :,HLM - Hidrológica,Código :,230603
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-08-01,4.970,4.940,4.900,4.890
2017-08-02,4.850,4.820,4.810,4.780
2017-08-03,4.760,4.750,4.750,4.740
2017-08-04,4.670,4.650,4.630,4.630
2017-08-05,4.590,4.550,4.550,4.550
2017-08-06,4.500,4.480,4.470,4.420
2017-08-07,4.380,4.380,4.370,4.340
2017-08-08,4.280,4.270,4.270,4.270
2017-08-09,4.260,4.260,4.260,4.260
2017-08-10,4.240
