Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LAGUNAS
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,LAGUNAS
Latitud :,5°13'1.62'',Longitud :,75°40'4.42'',Altitud :,118 msnm.
Tipo :,HLM - Hidrológica,Código :,230603
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-11-01,8.170,8.200,8.200,8.200
2017-11-02,8.150,8.150,8.100,8.070
2017-11-03,7.860,7.820,7.800,7.790
2017-11-04,7.950,7.980,8.100,8.140
2017-11-05,8.260,8.280,8.280,8.280
2017-11-06,8.450,8.470,8.470,8.480
2017-11-07,8.570,8.580,8.590,8.590
2017-11-08,8.590,8.590,8.570,8.550
2017-11-09,8.590,8.600,8.600,8.600
2017-11-10,8.590,8.590,8.530,8.530
2017-11-11,8.550,8.550,8.580,8.600
2017-11-12,8.700,8.710,8.730,8.760
2017-11-13,8.820,8.830,8.870,8.890
2017-11-14,8.930,8.950,8.960,8.970
2017-11-15,9.060,9.080,9.100,9.110
2017-11-16,9.210,9.230,9.210,9.220
2017-11-17,9.300,9.320,9.320,9.320
2017-11-18,9.350,9.350,9.350,9.360
2017-11-19,9.310,9.300,9.300,9.270
2017-11-20,9.230,9.210,9.150,9.130
2017-11-21,9.050,9.020,8.980,8.900
2017-11-22,8.740,8.720,8.720,8.720
2017-11-23,8.530,8.520,8.540,8.540
2017-11-24,8.600,8.610,8.590,8.590
2017-11-25,8.460,8.450,8.380,8.360
2017-11-26,8.090,8.060,8.050,8.030
2017-11-27,7.960,7.920,7.870,7.870
2017-11-28,7.860,7.860,7.800,7.780
2017-11-29,7.670,7.650,7.630,7.600
2017-11-30,7.600,7.600,7.650,7.680
