Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-10-01,3.98,3.94,3.93,3.94,3.95
2019-10-02,3.84,3.82,3.82,3.82,3.83
2019-10-03,3.79,3.78,3.79,3.78,3.79
2019-10-04,3.79,3.79,3.79,3.79,3.79
2019-10-05,3.93,3.95,3.96,3.96,3.95
2019-10-06,4.26,4.30,4.34,4.39,4.32
2019-10-07,4.50,4.52,4.55,4.60,4.54
2019-10-08,4.75,4.74,4.77,4.79,4.76
2019-10-09,4.79,4.79,4.78,4.78,4.79
2019-10-10,4.78,4.75,4.72,4.70,4.74
2019-10-11,7.72,4.72,4.71,4.71,5.47
2019-10-12,4.70,4.54,4.25,4.25,4.44
2019-10-13,7.22,4.60,4.66,4.70,5.30
2019-10-14,4.80,4.83,4.87,4.91,4.85
2019-10-15,4.80,4.82,4.82,4.89,4.83
2019-10-16,4.92,4.95,4.90,4.85,4.91
2019-10-17,4.78,4.77,4.77,4.77,4.77
2019-10-18,4.65,4.63,4.63,4.63,4.64
2019-10-19,4.51,4.49,4.47,4.46,4.48
2019-10-20,4.43,4.36,4.35,4.34,4.37
2019-10-21,4.31,4.30,4.28,4.27,4.29
2019-10-22,4.27,4.27,4.27,4.27,4.27
2019-10-23,4.43,4.45,4.53,4.56,4.49
2019-10-24,4.62,4.64,4.68,4.69,4.66
2019-10-25,4.69,4.80,4.95,4.98,4.86
2019-10-26,4.99,4.99,4.99,4.99,4.99
2019-10-27,5.04,5.04,5.05,5.05,5.05
2019-10-28,5.08,5.08,5.09,5.09,5.09
2019-10-29,5.20,5.27,5.30,5.40,5.29
2019-10-30,5.54,5.58,5.60,5.62,5.59
2019-10-31,5.76,5.78,5.80,5.82,5.79
