Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE ITAYA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,4°13'30.46'',Longitud :,73°28'57.03'',Altitud :,99 msnm.
Tipo :,HLM - Hidrológica,Código :,240502
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-07-01,10.06,10.04,10.00,9.92,10.01
2024-07-02,9.71,9.66,9.60,9.55,9.63
2024-07-03,9.39,9.35,9.28,9.25,9.32
2024-07-04,9.14,9.12,9.09,9.06,9.10
2024-07-05,8.92,8.88,8.86,8.82,8.87
2024-07-06,8.71,8.71,8.71,8.70,8.71
2024-07-07,8.71,8.73,8.74,8.76,8.74
2024-07-08,8.84,8.86,8.88,8.92,8.88
2024-07-09,8.99,9.02,9.04,9.06,9.03
2024-07-10,9.18,9.15,9.12,9.09,9.14
2024-07-11,9.03,9.02,9.01,8.97,9.01
2024-07-12,8.93,8.91,8.89,8.87,8.90
2024-07-13,8.83,8.81,8.77,8.74,8.79
2024-07-14,8.72,8.70,8.68,8.66,8.69
2024-07-15,8.58,8.56,8.54,8.48,8.54
2024-07-16,8.37,8.35,8.33,8.30,8.34
2024-07-17,8.21,8.23,8.25,8.29,8.25
2024-07-18,8.47,8.51,8.55,8.61,8.54
2024-07-19,8.70,8.73,8.75,8.76,8.74
2024-07-20,8.79,8.78,8.78,8.77,8.78
2024-07-21,8.78,8.75,8.72,8.69,8.74
2024-07-22,8.59,8.56,8.53,8.47,8.54
2024-07-23,8.34,8.31,8.29,8.25,8.30
2024-07-24,8.13,8.10,8.06,8.02,8.08
2024-07-25,7.91,7.89,7.80,7.70,7.83
2024-07-26,7.61,7.55,7.50,7.41,7.52
2024-07-27,7.21,7.15,7.10,7.05,7.13
2024-07-28,6.99,6.95,6.85,6.80,6.90
2024-07-29,6.64,6.60,6.50,6.40,6.54
2024-07-30,6.33,6.30,6.21,6.11,6.24
2024-07-31,5.98,5.91,5.81,5.76,5.87
