Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUERTO ALMENDRA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°49'38.75'',Longitud :,73°22'38.68'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240302
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2026-02-01,7.87,7.87,7.87,7.87,7.87
2026-02-02,7.88,7.88,7.89,7.89,7.89
2026-02-03,7.90,7.91,7.91,7.92,7.91
2026-02-04,7.92,7.92,7.92,7.93,7.92
2026-02-05,7.93,7.93,7.93,7.93,7.93
2026-02-06,7.94,7.94,7.94,7.94,7.94
2026-02-07,7.94,7.94,7.94,7.94,7.94
2026-02-08,7.95,7.95,7.95,7.95,7.95
2026-02-09,7.96,7.96,7.96,7.96,7.96
2026-02-10,7.95,7.95,7.95,7.95,7.95
2026-02-11,7.98,7.99,7.99,7.99,7.99
2026-02-12,7.98,7.98,7.98,7.98,7.98
2026-02-13,8.02,8.02,8.02,8.02,8.02
2026-02-14,8.04,8.04,8.05,8.05,8.05
2026-02-15,8.08,8.08,8.08,8.08,8.08
2026-02-16,8.08,8.08,8.08,8.08,8.08
2026-02-17,8.10,8.10,8.10,8.11,8.10
2026-02-18,8.13,8.13,8.13,8.14,8.13
2026-02-19,8.18,8.18,8.18,8.19,8.18
2026-02-20,8.23,8.23,8.24,8.25,8.24
2026-02-21,8.29,8.30,8.30,8.31,8.30
2026-02-22,8.34,8.34,8.35,8.35,8.35
2026-02-23,8.37,8.37,8.37,8.37,8.37
2026-02-24,8.37,8.37,8.37,8.38,8.37
2026-02-25,8.40,8.40,8.40,8.40,8.40
2026-02-26,8.44,8.44,8.45,8.45,8.45
2026-02-27,8.49,8.49,8.50,8.50,8.50
2026-02-28,8.52,8.52,8.52,8.52,8.52
