Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-05-01,11.86,11.86,11.86,11.86,11.86
2021-05-02,11.86,11.86,11.86,11.86,11.86
2021-05-03,11.86,11.85,11.85,11.84,11.85
2021-05-04,11.84,11.84,11.84,11.83,11.84
2021-05-05,11.84,11.83,11.83,11.82,11.83
2021-05-06,11.82,11.81,11.80,11.80,11.81
2021-05-07,11.79,11.79,11.79,11.78,11.79
2021-05-08,11.78,11.79,11.80,11.80,11.79
2021-05-09,11.80,11.80,11.80,11.79,11.80
2021-05-10,11.79,11.77,11.76,11.76,11.77
2021-05-11,11.76,11.76,11.75,11.75,11.76
2021-05-12,11.74,11.74,11.74,11.73,11.74
2021-05-13,11.73,11.73,11.72,11.71,11.72
