Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-03-01,12.32,12.33,12.34,12.35,12.34
2025-03-02,12.41,12.43,12.44,12.45,12.43
2025-03-03,12.47,12.47,12.49,12.51,12.49
2025-03-04,12.53,12.54,12.55,12.56,12.55
2025-03-05,12.57,12.58,12.59,12.67,12.60
2025-03-06,12.65,12.65,12.66,12.67,12.66
2025-03-07,12.72,12.73,12.73,12.73,12.73
2025-03-08,12.75,12.74,12.75,12.76,12.75
2025-03-09,12.81,12.83,12.84,12.84,12.83
2025-03-10,12.87,12.87,12.88,12.89,12.88
2025-03-11,12.89,12.90,12.91,12.92,12.91
2025-03-12,12.93,12.94,12.96,12.97,12.95
2025-03-13,12.95,12.97,12.98,12.99,12.97
2025-03-14,12.99,12.99,12.99,12.99,12.99
2025-03-15,13.01,13.01,13.02,13.02,13.02
2025-03-16,13.04,13.04,13.05,13.06,13.05
2025-03-17,13.08,13.09,13.10,13.09,13.09
2025-03-18,13.10,13.11,13.11,13.12,13.11
2025-03-19,13.13,13.13,13.14,13.14,13.14
2025-03-20,13.16,13.17,13.18,13.19,13.18
2025-03-21,13.23,13.24,13.25,13.26,13.25
2025-03-22,13.27,13.28,13.28,13.29,13.28
2025-03-23,13.31,13.32,13.32,13.33,13.32
2025-03-24,13.34,13.34,13.34,13.35,13.34
2025-03-25,13.36,13.37,13.38,13.38,13.37
2025-03-26,13.40,13.40,13.40,13.40,13.40
2025-03-27,13.41,13.41,13.41,13.41,13.41
2025-03-28,13.42,13.44,13.45,13.46,13.44
2025-03-29,13.48,13.48,13.49,13.49,13.49
2025-03-30,13.52,13.52,13.53,13.53,13.53
2025-03-31,13.54,13.54,13.55,13.56,13.55
