Estación : SAN LORENZO
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,BARRANCA
Latitud :,4°49'55.78'',Longitud :,76°33'19.31'',Altitud :,133 msnm.
Tipo :,HLM - Hidrológica,Código :,220108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-05-01,12.880,12.880,12.870,0.000
2020-05-04,13.440,0.000,0.000,0.000
2020-05-05,0.000,13.640,13.660,0.000
2020-05-06,13.780,0.000,0.000,0.000
2020-05-08,13.920,0.000,0.000,0.000
2020-05-13,13.820,13.790,0.000,0.000
2020-05-14,13.760,0.000,0.000,0.000
2020-05-15,13.700,0.000,0.000,0.000
2020-05-16,13.650,0.000,0.000,0.000
2020-05-18,13.490,0.000,0.000,0.000
2020-05-19,13.700,0.000,0.000,0.000
2020-05-20,13.840,0.000,0.000,0.000
2020-05-21,13.770,0.000,0.000,0.000
2020-05-22,13.680,0.000,0.000,0.000
2020-05-23,13.540,0.000,0.000,0.000
2020-05-25,13.540,0.000,0.000,0.000
