Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN LORENZO
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,BARRANCA
Latitud :,4°49'55.78'',Longitud :,76°33'19.31'',Altitud :,133 msnm.
Tipo :,HLM - Hidrológica,Código :,220108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-02-01,11.060,10.940,10.900,10.880
2023-02-02,10.720,10.700,10.640,10.600
2023-02-03,10.520,10.440,10.300,10.160
2023-02-04,10.100,10.100,10.140,10.120
2023-02-05,10.140,10.160,10.160,10.180
2023-02-06,10.100,10.040,10.020,9.980
2023-02-07,9.940,9.960,9.940,9.940
2023-02-08,10.020,10.040,10.120,10.300
2023-02-09,10.860,10.980,11.100,11.260
2023-02-10,11.660,11.800,11.900,11.980
2023-02-11,11.920,11.920,11.900,11.900
2023-02-12,11.880,11.900,11.910,11.900
2023-02-13,11.840,11.860,11.900,11.900
2023-02-14,12.140,12.300,12.560,12.740
2023-02-15,12.940,12.920,12.860,12.800
2023-02-16,12.540,12.480,12.300,12.160
2023-02-17,11.840,11.800,0.000,0.000
2023-02-18,11.900,11.960,12.080,12.200
2023-02-19,12.340,12.400,12.460,12.500
2023-02-20,12.500,12.520,12.480,12.380
2023-02-21,12.200,12.180,12.140,12.120
2023-02-22,12.040,11.980,11.860,11.800
2023-02-23,11.840,11.840,11.880,11.860
2023-02-24,12.020,12.120,12.220,12.300
2023-02-25,12.520,12.580,12.560,12.500
2023-02-26,12.460,12.300,12.180,12.040
2023-02-27,12.080,11.980,11.920,11.880
2023-02-28,11.700,11.660,11.700,11.720
