Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-03-01,10.51,10.50,10.48,10.47,10.49
2023-03-02,10.43,10.44,10.45,10.46,10.45
2023-03-03,10.47,10.48,10.49,10.51,10.49
2023-03-04,10.60,10.62,10.64,10.69,10.64
2023-03-05,10.80,10.83,10.85,10.88,10.84
2023-03-06,11.01,11.05,11.09,11.12,11.07
2023-03-07,11.18,11.20,11.24,11.26,11.22
2023-03-08,11.30,11.34,11.37,11.39,11.35
2023-03-09,11.45,11.48,11.50,11.52,11.49
2023-03-10,11.70,11.75,11.79,11.82,11.77
2023-03-11,11.88,11.91,11.94,11.95,11.92
2023-03-12,11.99,11.99,12.01,12.01,12.00
2023-03-13,12.03,12.04,12.06,12.06,12.05
2023-03-14,12.11,12.13,12.15,12.15,12.14
2023-03-15,12.18,12.19,12.21,12.25,12.21
2023-03-16,12.23,12.25,12.26,12.26,12.25
2023-03-17,12.29,12.29,12.30,12.30,12.30
2023-03-18,12.32,12.32,12.33,12.33,12.33
2023-03-19,12.35,12.36,12.38,12.38,12.37
2023-03-20,12.38,12.38,12.38,12.38,12.38
2023-03-21,12.40,12.40,12.40,12.40,12.40
2023-03-22,12.42,12.42,12.42,12.42,12.42
2023-03-23,12.43,12.44,12.45,12.45,12.44
2023-03-24,12.46,12.46,12.46,12.46,12.46
2023-03-25,12.46,12.46,12.46,12.46,12.46
2023-03-26,12.45,12.44,12.44,12.43,12.44
2023-03-27,12.43,12.41,12.41,12.41,12.42
2023-03-28,12.41,12.41,12.40,12.39,12.40
2023-03-29,12.38,12.36,12.36,12.36,12.37
2023-03-30,12.33,12.33,12.32,12.31,12.32
2023-03-31,12.33,12.34,12.34,12.34,12.34
