Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CLOTILDE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
Latitud :,2°29'13.29'',Longitud :,73°40'44.51'',Altitud :,113 msnm.
Tipo :,HLM - Hidrológica,Código :,240110
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-04-01,7.67,7.67,7.67,7.68,7.67
2021-04-02,7.76,7.80,7.88,8.01,7.86
2021-04-03,8.30,8.38,8.46,8.57,8.43
2021-04-04,8.86,8.90,8.97,9.02,8.94
2021-04-05,9.13,9.14,9.16,9.17,9.15
2021-04-06,9.15,9.13,9.10,9.08,9.12
2021-04-07,9.01,8.99,8.98,8.98,8.99
2021-04-08,9.02,9.05,9.08,9.13,9.07
2021-04-09,9.22,9.23,9.25,9.25,9.24
2021-04-10,9.19,9.16,9.13,9.07,9.14
2021-04-11,8.93,8.89,8.85,8.80,8.87
2021-04-12,8.67,8.64,8.60,8.56,8.62
2021-04-13,8.55,8.55,8.55,8.57,8.56
2021-04-14,8.67,8.70,8.72,8.72,8.70
2021-04-15,8.68,8.66,8.64,8.63,8.65
2021-04-16,8.65,8.67,8.70,8.74,8.69
2021-04-17,8.85,8.87,8.90,8.92,8.89
2021-04-18,8.90,8.88,8.86,8.86,8.88
2021-04-19,8.89,8.91,8.95,8.99,8.94
2021-04-20,9.11,9.13,9.16,9.19,9.15
2021-04-21,9.25,9.26,9.27,9.30,9.27
2021-04-22,9.35,9.35,9.36,9.39,9.36
2021-04-23,9.46,9.49,9.55,9.57,9.52
2021-04-24,9.62,9.64,9.65,9.66,9.64
2021-04-25,9.69,9.69,9.70,9.70,9.70
2021-04-26,9.67,9.65,9.61,9.56,9.62
2021-04-27,9.43,9.39,9.35,9.27,9.36
2021-04-28,9.16,9.12,9.08,9.01,9.09
2021-04-29,8.83,8.79,8.75,8.69,8.77
2021-04-30,8.63,8.63,8.63,8.63,8.63
