Estación : SANTA CLOTILDE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
Latitud :,2°29'13.29'',Longitud :,73°40'44.51'',Altitud :,113 msnm.
Tipo :,HLM - Hidrológica,Código :,240110
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-10-01,8.59,8.59,8.58,8.55,8.58
2025-10-02,8.42,8.40,8.34,8.27,8.36
2025-10-03,8.12,8.09,8.04,8.01,8.07
2025-10-04,7.99,7.99,8.04,8.07,8.02
2025-10-05,8.20,8.24,8.34,8.42,8.30
2025-10-06,8.56,8.58,8.63,8.69,8.62
2025-10-07,8.50,8.88,8.92,8.98,8.82
2025-10-08,8.99,8.98,8.95,8.90,8.96
2025-10-09,8.74,8.70,8.64,8.56,8.66
2025-10-10,8.36,8.31,8.27,8.20,8.29
2025-10-11,8.12,8.11,8.09,8.06,8.10
2025-10-12,7.98,7.97,7.95,7.92,7.96
2025-10-13,7.99,8.01,8.07,8.15,8.06
2025-10-14,8.33,8.39,8.48,8.59,8.45
2025-10-15,8.60,8.58,8.56,8.50,8.56
2025-10-16,8.33,8.29,8.25,8.18,8.26
2025-10-17,8.03,7.99,7.95,7.92,7.97
2025-10-18,7.92,7.97,8.02,8.07,8.00
2025-10-19,8.14,8.13,8.12,8.10,8.12
2025-10-20,7.96,7.96,7.97,7.99,7.97
2025-10-21,8.30,8.38,8.50,8.63,8.45
2025-10-22,8.70,8.70,8.68,8.65,8.68
2025-10-23,8.55,8.40,8.46,8.40,8.45
2025-10-24,8.25,8.22,8.18,8.13,8.20
2025-10-25,8.02,7.99,7.93,7.87,7.95
2025-10-26,7.76,7.74,7.72,7.69,7.73
2025-10-27,7.67,7.69,7.72,7.75,7.71
2025-10-28,7.99,8.09,8.20,8.32,8.15
2025-10-29,8.48,8.50,8.52,
