Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-09-01,3.45,3.46,3.40,3.40,3.43
2024-09-02,3.45,3.49,3.50,3.54,3.50
2024-09-03,3.55,3.57,3.58,3.60,3.58
2024-09-04,3.51,3.50,3.42,3.44,3.47
2024-09-05,3.39,3.37,3.34,3.30,3.35
2024-09-06,3.20,3.18,3.16,3.14,3.17
2024-09-07,3.12,3.10,3.08,3.06,3.09
2024-09-08,3.01,3.01,3.01,3.01,3.01
2024-09-09,3.01,3.01,3.01,3.01,3.01
2024-09-10,3.01,3.02,3.03,3.04,3.03
2024-09-11,3.10,3.12,3.13,3.14,3.12
2024-09-12,3.16,3.18,3.20,3.21,3.19
2024-09-13,3.21,3.21,3.21,3.21,3.21
2024-09-14,3.22,3.22,3.23,3.23,3.23
2024-09-15,3.21,3.21,3.21,3.21,3.21
2024-09-16,3.21,3.22,3.22,3.23,3.22
2024-09-17,3.23,3.23,3.23,3.23,3.23
2024-09-18,3.09,3.09,3.09,3.09,3.09
2024-09-19,2.99,2.99,2.99,2.99,2.99
2024-09-20,2.94,2.94,2.92,2.90,2.93
2024-09-21,2.85,2.84,2.83,2.81,2.83
2024-09-22,2.79,2.79,2.79,2.79,2.79
2024-09-23,2.84,2.86,2.87,2.88,2.86
2024-09-24,2.94,2.98,2.99,3.01,2.98
2024-09-25,3.03,3.03,3.03,3.03,3.03
2024-09-26,2.99,2.98,2.98,2.98,2.98
2024-09-27,2.96,2.97,2.98,2.99,2.98
2024-09-28,3.01,3.03,3.05,3.07,3.04
2024-09-29,3.10,3.15,3.22,
