Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-10-01,6.60,6.62,6.67,6.70,6.65
2025-10-02,6.74,6.79,6.82,6.86,6.80
2025-10-03,6.91,6.91,6.90,6.90,6.91
2025-10-04,6.82,6.78,6.75,6.74,6.77
2025-10-05,6.78,6.75,6.70,6.66,6.72
2025-10-06,6.68,6.70,6.72,6.75,6.71
2025-10-07,6.85,6.88,6.90,6.93,6.89
2025-10-08,6.99,7.02,7.04,7.05,7.03
2025-10-09,7.13,7.15,7.16,7.18,7.16
2025-10-10,7.18,7.17,7.16,7.15,7.17
2025-10-11,7.04,7.02,6.99,6.98,7.01
2025-10-12,6.96,6.93,6.90,6.88,6.92
2025-10-13,6.80,6.78,6.77,6.76,6.78
2025-10-14,6.74,6.75,6.76,6.76,6.75
2025-10-15,6.84,6.88,6.91,6.94,6.89
2025-10-16,6.98,6.98,6.99,6.99,6.99
2025-10-17,6.99,6.99,6.99,6.99,6.99
2025-10-18,6.99,6.97,6.95,6.94,6.96
2025-10-19,6.90,6.90,6.90,6.90,6.90
2025-10-20,6.90,6.90,6.91,6.91,6.91
2025-10-21,6.89,6.87,6.86,6.85,6.87
2025-10-22,6.90,6.95,6.97,6.98,6.95
2025-10-23,7.01,7.05,7.10,7.15,7.08
2025-10-24,7.10,7.10,7.09,7.08,7.09
2025-10-25,7.02,7.01,6.99,6.98,7.00
2025-10-26,6.95,6.90,6.88,6.85,6.90
2025-10-27,6.77,6.75,6.68,6.57,6.69
2025-10-28,6.61,6.62,6.63,6.64,6.63
2025-10-29,6.66,6.69,6.77,6.84,6.74
2025-10-30,6.95,6.96,6.96,6.97,6.96
2025-10-31,7.01,7.03,7.06,7.08,7.05
