Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA MARIA DE NANAY
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-03-01,6.48,6.50,6.54,6.59,6.53
2020-03-02,6.60,6.60,6.61,6.62,6.61
2020-03-03,6.61,6.58,6.51,6.48,6.55
2020-03-04,6.40,6.35,6.32,6.28,6.34
2020-03-05,6.13,6.11,6.08,6.04,6.09
2020-03-06,5.97,5.98,5.95,5.94,5.96
2020-03-07,5.91,5.90,5.89,5.86,5.89
2020-03-08,5.82,5.80,5.79,5.76,5.79
2020-03-09,5.75,5.75,5.70,5.69,5.72
2020-03-10,5.67,5.70,5.78,5.81,5.74
2020-03-11,5.82,5.80,5.83,5.85,5.83
2020-03-12,5.86,5.88,5.89,5.90,5.88
2020-03-13,5.90,5.92,5.93,5.98,5.93
2020-03-14,6.03,6.07,6.04,6.06,6.05
2020-03-15,6.09,6.10,6.11,6.12,6.11
2020-03-16,6.15,6.17,6.18,6.19,6.17
2020-03-17,6.21,6.23,6.25,6.35,6.26
2020-03-18,6.36,6.38,6.42,6.48,6.41
2020-03-19,6.48,6.45,6.46,6.46,6.46
2020-03-20,6.42,6.40,6.37,6.32,6.38
2020-03-21,6.29,6.27,6.25,6.22,6.26
2020-03-22,6.18,6.17,6.15,6.12,6.16
2020-03-23,6.10,6.08,6.06,6.03,6.07
2020-03-24,5.97,5.95,5.92,5.92,5.94
2020-03-25,5.90,5.86,5.83,5.75,5.84
2020-03-26,5.69,5.66,5.60,5.53,5.62
2020-03-27,5.47,5.45,5.43,5.40,5.44
2020-03-28,5.38,5.37,5.35,5.30,5.35
2020-03-29,5.30,5.30,5.32,5.33,5.31
2020-03-30,5.33,5.35,5.36,5.38,5.36
2020-03-31,5.39,5.42,5.42,5.49,5.43
