Estación : SANTA MARIA DE NANAY
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-07-01,6.32,6.33,6.33,6.33,6.33
2020-07-02,6.35,6.35,6.35,6.34,6.35
2020-07-03,6.33,6.32,6.31,6.31,6.32
2020-07-04,6.30,6.31,6.33,6.35,6.32
2020-07-05,6.36,6.38,6.40,6.41,6.39
2020-07-06,6.43,6.43,6.45,6.46,6.44
2020-07-07,6.48,6.48,6.49,6.50,6.49
2020-07-08,6.52,6.53,6.54
