Estación : SANTA ROSA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
Latitud :,4°13'27.05'',Longitud :,69°57'12.6'',Altitud :,63 msnm.
Tipo :,HLM - Hidrológica,Código :,240108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-08-01,3.36,3.25,3.20,3.16,3.24
2024-08-02,2.98,2.95,2.92,2.90,2.94
2024-08-03,2.70,2.64,2.58,2.53,2.61
2024-08-04,2.37,2.31,2.25,2.20,2.28
2024-08-05,2.02,1.99,1.94,1.94,1.97
2024-08-06,1.78,1.74,1.71,1.67,1.73
2024-08-07,1.52,1.46,1.45,1.42,1.46
2024-08-08,1.32,1.28,1.25,1.22,1.27
2024-08-09,1.14,1.12,1.10,1.08,1.11
2024-08-10,1.02,0.99,0.98,0.97,0.99
2024-08-11,0.90,0.89,0.88,0.88,0.89
2024-08-12,0.84,0.83,0.82,0.82,0.83
2024-08-13,0.80,0.80,0.80,0.80,0.80
2024-08-14,0.79,0.78,0.77,0.77,0.78
2024-08-15,0.76,0.76,0.75,0.75,0.76
2024-08-16,0.74,0.74,0.73,0.73,0.74
2024-08-17,0.72,0.72,0.72,0.72,0.72
2024-08-18,0.72,0.72,0.72,0.72,0.72
2024-08-19,0.77,0.77,0.78,0.78,0.78
2024-08-20,0.79,0.79,0.79,0.79,0.79
2024-08-21,0.79,0.79,0.79,0.79,0.79
2024-08-22,0.77,0.76,0.75,0.75,0.76
2024-08-23,0.74,0.72,0.70,0.69,0.71
2024-08-24,0.60,0.58,0.56,0.55,0.57
2024-08-25,0.47,0.44,0.41,0.39,0.43
2024-08-26,0.33,0.30,0.28,0.26,0.29
2024-08-27,0.19,0.17,0.15,0.12,0.16
