Estación : SANTO TOMAS PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-04-01,14.44,14.46,14.46,14.48,14.46
2020-04-02,14.50,14.52,14.52,14.54,14.52
2020-04-03,14.56,14.56,14.58,14.58,14.57
2020-04-04,14.60,14.62,14.62,14.64,14.62
2020-04-05,14.66,14.66,14.68,14.68,14.67
2020-04-06,14.62,14.74,14.76,14.78,14.73
2020-04-07,14.82,14.84,14.86,14.88,14.85
2020-04-08,14.94,14.98,15.04,15.08,15.01
2020-04-09,15.22,15.23,15.23,15.23,15.23
2020-04-10,15.28,15.28,15.28,15.30,15.29
2020-04-11,15.30,15.40,15.41,15.42,15.38
2020-04-12,15.46,15.46,15.48,15.48,15.47
2020-04-13,15.52,15.53,15.54,15.55,15.54
2020-04-14,15.58,15.58,15.60,15.60,15.59
2020-04-15,15.64,15.64,15.65,15.65,15.65
2020-04-16,15.66,15.68,15.70,15.72,15.69
2020-04-17,15.78,15.78,15.80,15.80,15.79
2020-04-18,15.82,15.82,15.84,15.84,15.83
2020-04-19,15.86,15.88,15.88,15.90,15.88
2020-04-20,15.92,15.92,15.92,15.92,15.92
2020-04-21,15.92,15.92,15.93,15.93,15.93
2020-04-22,15.92,15.92,15.92,15.92,15.92
2020-04-23,15.92,15.92,15.92,15.92,15.92
2020-04-24,15.91,15.91,15.91,15.91,15.91
