Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTO TOMAS PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2022-06-01,17.04,17.04,17.04,17.04,17.04
2022-06-02,17.02,17.00,17.00,16.98,17.00
2022-06-03,16.96,16.96,16.94,16.94,16.95
2022-06-04,16.92,16.92,16.90,16.90,16.91
2022-06-05,16.88,16.88,16.86,16.86,16.87
2022-06-06,16.84,16.84,16.84,16.84,16.84
2022-06-07,16.82,16.82,16.82,16.82,16.82
2022-06-08,16.80,16.80,16.80,16.80,16.80
2022-06-09,16.78,16.78,16.77,16.77,16.78
2022-06-10,16.76,16.76,16.76,16.76,16.76
2022-06-11,16.74,16.74,16.74,16.74,16.74
2022-06-12,16.72,16.72,16.70,16.70,16.71
2022-06-13,16.68,16.68,16.66,16.66,16.67
2022-06-14,16.64,16.64,16.62,16.62,16.63
2022-06-15,16.60,16.58,16.56,16.54,16.57
2022-06-16,16.50,16.48,16.46,16.44,16.47
2022-06-17,16.40,16.36,16.32,16.28,16.34
2022-06-18,16.20,16.16,16.12,16.08,16.14
2022-06-19,16.98,15.96,15.94,15.92,16.20
2022-06-20,15.84,15.82,15.80,15.78,15.81
2022-06-21,15.68,15.66,15.64,15.62,15.65
2022-06-22,15.54,15.52,15.50,15.42,15.50
2022-06-23,15.40,15.38,15.36,15.34,15.37
2022-06-24,15.28,15.28,15.26,15.26,15.27
2022-06-25,15.22,15.22,15.22,15.22,15.22
2022-06-26,15.18,15.18,15.16,15.16,15.17
2022-06-27,15.14,15.14,15.12,15.12,15.13
2022-06-28,15.10,15.08,15.08,15.06,15.08
2022-06-29,15.04,15.02,15.02,15.00,15.02
2022-06-30,14.96,14.92,14.88,14.84,14.90
