Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SEDA LORETO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°45'10'',Longitud :,73°16'51.58'',Altitud :,126 msnm.
Tipo :,HLM - Hidrológica,Código :,240106
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-09-01,107.80,107.77,107.69,107.66,107.73
2024-09-02,107.64,107.57,107.50,107.47,107.55
2024-09-03,107.47,107.39,107.31,107.25,107.36
2024-09-04,107.25,107.22,107.18,107.16,107.20
2024-09-05,107.14,107.16,107.18,107.20,107.17
2024-09-06,107.22,107.22,107.22,107.23,107.22
2024-09-07,107.25,107.32,107.40,107.48,107.36
2024-09-08,107.52,107.58,107.66,107.74,107.63
2024-09-09,107.82,107.85,107.88,107.91,107.87
2024-09-10,107.93,107.88,107.85,107.83,107.87
2024-09-11,107.86,107.77,107.75,107.72,107.78
2024-09-12,107.69,107.61,107.56,107.54,107.60
2024-09-13,107.51,107.46,107.39,107.34,107.43
2024-09-14,107.32,107.26,107.23,107.21,107.26
2024-09-15,107.19,107.15,107.11,107.09,107.14
2024-09-16,107.06,107.02,107.00,106.96,107.01
2024-09-17,106.94,106.94,106.94,106.91,106.93
2024-09-18,106.91,106.87,106.85,106.82,106.86
2024-09-19,106.80,106.83,106.85,106.88,106.84
2024-09-20,106.88,106.88,106.88,106.91,106.89
2024-09-21,106.91,106.91,106.93,106.91,106.92
2024-09-22,106.94,106.95,106.98,106.96,106.96
2024-09-23,106.95,106.95,106.95,106.95,106.95
2024-09-24,106.95,106.95,106.95,106.95,106.95
2024-09-25,107.00,107.70,107.00,107.10,107.20
2024-09-26,107.13,107.18,107.18,107.20,107.17
2024-09-27,107.22,107.22,107.20,107.20,107.21
2024-09-28,107.20,107.20,107.15,107.15,107.18
2024-09-29,107.15,107.13,107.12,107.11,107.13
2024-09-30,107.10,107.10,107.10,107.10,107.10
