Estación : TAMSHIYACU
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,FERNANDO LORES
Latitud :,4°0'11.38'',Longitud :,73°9'41.04'',Altitud :,94 msnm.
Tipo :,HLM - Hidrológica,Código :,240103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-03-01,118.350,118.350,118.360,118.360
2019-03-02,118.390,117.290,117.280,117.300
2019-03-03,118.430,118.440,117.330,117.300
2019-03-04,118.450,118.440,118.430,118.420
2019-03-05,118.400,118.380,118.370,118.370
2019-03-06,118.370,118.370,118.260,118.360
2019-03-07,118.410,118.430,118.410,118.400
2019-03-08,118.420,118.410,118.410,118.410
2019-03-09,118.410,118.420,118.420,118.430
2019-03-10,118.450,118.440,118.430,118.430
2019-03-11,118.450,118.450,118.460,118.470
2019-03-12,118.490,118.490,118.480,118.490
2019-03-13,118.500,118.520,118.520,118.520
2019-03-14,118.550,118.540,118.440,118.540
2019-03-15,118.570,118.580,118.580,118.590
2019-03-16,118.520,118.520
