Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : TAMSHIYACU
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,FERNANDO LORES
Latitud :,4°0'11.38'',Longitud :,73°9'41.04'',Altitud :,94 msnm.
Tipo :,HLM - Hidrológica,Código :,240103
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-01-01,6.420,6.430,6.440,6.440
2025-01-02,6.460,6.470,6.480,6.500
2025-01-03,6.520,6.530,6.540,6.560
2025-01-04,6.570,6.580,6.580,6.590
2025-01-05,6.610,6.620,6.630,6.640
2025-01-06,6.660,6.660,6.670,6.670
2025-01-07,6.680,6.680,6.690,6.690
2025-01-08,6.700,6.700,6.710,6.710
2025-01-09,6.760,6.760,6.770,6.780
2025-01-10,6.780,6.780,6.790,6.790
2025-01-11,6.810,6.810,6.820,6.820
2025-01-12,6.810,6.820,6.820,6.830
2025-01-13,6.820,6.830,6.810,6.800
2025-01-14,6.770,6.760,6.760,6.750
2025-01-15,6.720,6.710,6.710,6.700
2025-01-16,6.650,6.630,6.620,6.600
2025-01-17,6.550,6.530,6.510,6.490
2025-01-18,6.450,6.430,6.400,6.370
2025-01-19,6.320,6.260,6.210,6.170
2025-01-20,6.080,6.060,6.030,5.980
2025-01-21,5.910,5.890,5.870,5.840
2025-01-22,5.740,5.710,5.680,5.640
2025-01-23,5.590,5.560,5.510,5.490
2025-01-24,5.460,5.440,5.420,5.400
2025-01-25,5.380,5.370,5.350,5.330
2025-01-26,5.290,5.270,5.240,5.220
2025-01-27,5.200,5.190,5.180,5.170
2025-01-28,5.160,5.170,5.170,5.160
2025-01-29,5.150,5.140,5.130,5.120
2025-01-30,5.100,5.100,5.090,5.090
2025-01-31,5.080,5.080,5.070,5.070
