Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : TIMICURILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-10-01,6.13,6.25,6.30,6.39,6.27
2025-10-02,6.60,6.63,6.70,6.76,6.67
2025-10-03,6.82,6.83,6.86,6.90,6.85
2025-10-04,6.95,6.97,7.01,7.02,6.99
2025-10-05,7.01,7.01,7.05,7.02,7.02
2025-10-06,7.01,7.01,7.00,7.01,7.01
2025-10-07,7.02,7.03,7.05,7.06,7.04
2025-10-08,7.10,7.13,7.15,7.19,7.14
2025-10-09,7.25,7.28,7.28,7.31,7.28
2025-10-10,7.38,7.38,7.38,7.40,7.39
2025-10-11,7.40,7.40,7.41,7.41,7.41
2025-10-12,7.40,7.40,7.40,7.38,7.40
2025-10-13,7.34,7.32,7.33,7.28,7.32
2025-10-14,7.27,7.28,7.32,7.33,7.30
2025-10-15,7.36,7.36,7.35,7.36,7.36
2025-10-16,7.42,7.50,7.55,7.59,7.52
2025-10-17,7.61,7.62,7.65,7.68,7.64
2025-10-18,7.73,7.76,7.78,7.80,7.77
2025-10-19,7.82,7.82,7.83,7.83,7.83
2025-10-20,7.85,7.86,7.86,7.88,7.86
2025-10-21,7.92,7.93,7.95,7.96,7.94
2025-10-22,7.98,8.05,8.14,8.19,8.09
2025-10-23,8.22,8.26,8.30,8.33,8.28
2025-10-24,8.38,8.43,8.50,8.54,8.46
2025-10-25,8.57,8.59,8.62,8.64,8.61
2025-10-26,8.62,8.62,8.60,8.55,8.60
2025-10-27,8.50,8.48,8.47,8.48,8.48
2025-10-28,8.50,8.50,8.42,8.54,8.49
2025-10-29,8.56,8.58,8.59,8.60,8.58
2025-10-30,8.68,8.69,8.71,8.75,8.71
2025-10-31,8.78,8.77,8.79,8.79,8.78
