Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : AMAZONAS
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,BELEN
Latitud :,3°45'50.29'',Longitud :,73°15'17.71'',Altitud :,106 msnm.
Tipo :,EMA - Meteorológica,Código :,103065
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/11/13,09:00,27.1,S/D,78,S/D,S/D
2025/11/13,17:00,32.0,S/D,58,S/D,S/D
2025/11/13,18:00,S/D,S/D,S/D,S/D,S/D
2025/11/13,19:00,28.2,S/D,69,S/D,S/D
2025/11/13,20:00,27.4,S/D,77,S/D,S/D
2025/11/13,21:00,26.6,S/D,86,S/D,S/D
2025/11/13,22:00,25.7,S/D,88,S/D,S/D
2025/11/13,23:00,25.7,S/D,88,S/D,S/D
2025/11/14,00:00,25.6,S/D,88,S/D,S/D
2025/11/14,01:00,25.2,S/D,91,S/D,S/D
2025/11/14,02:00,25.0,S/D,91,S/D,S/D
2025/11/14,03:00,24.7,S/D,89,S/D,S/D
2025/11/14,04:00,24.5,S/D,90,S/D,S/D
2025/11/14,05:00,24.4,S/D,90,S/D,S/D
2025/11/14,06:00,24.2,S/D,92,S/D,S/D
2025/11/14,07:00,25.0,S/D,89,S/D,S/D
2025/11/14,08:00,26.5,S/D,82,S/D,S/D
2025/11/14,09:00,28.3,S/D,75,S/D,S/D
2025/11/14,10:00,30.2,S/D,65,S/D,S/D
2025/11/14,11:00,31.5,S/D,59,S/D,S/D
2025/11/14,12:00,32.0,S/D,57,S/D,S/D
2025/11/14,13:00,S/D,S/D,S/D,S/D,S/D
2025/11/14,14:00,33.2,S/D,53,S/D,S/D
2025/11/14,15:00,32.5,S/D,55,S/D,S/D
2025/11/14,16:00,28.4,S/D,74,S/D,S/D
2025/11/14,17:00,24.8,S/D,89,S/D,S/D
2025/11/14,18:00,23.9,S/D,93,S/D,S/D
2025/11/14,19:00,23.8,S/D,94,S/D,S/D
2025/11/14,20:00,23.8,S/D,93,S/D,S/D
2025/11/14,21:00,23.6,S/D,93,S/D,S/D
2025/11/14,22:00,23.5,S/D,94,S/D,S/D
2025/11/14,23:00,23.4,S/D,95,S/D,S/D
2025/11/15,00:00,23.3,S/D,95,S/D,S/D
2025/11/15,01:00,23.4,S/D,94,S/D,S/D
2025/11/15,02:00,23.5,S/D,93,S/D,S/D
2025/11/15,03:00,23.2,S/D,94,S/D,S/D
2025/11/15,04:00,23.2,S/D,94,S/D,S/D
2025/11/15,05:00,23.0,S/D,96,S/D,S/D
2025/11/15,06:00,23.1,S/D,95,S/D,S/D
2025/11/15,07:00,23.4,S/D,94,S/D,S/D
2025/11/15,08:00,24.0,S/D,92,S/D,S/D
2025/11/15,09:00,24.4,S/D,91,S/D,S/D
2025/11/15,10:00,24.5,S/D,93,S/D,S/D
2025/11/15,11:00,25.0,S/D,88,S/D,S/D
2025/11/15,12:00,26.4,S/D,79,S/D,S/D
2025/11/15,13:00,27.4,S/D,76,S/D,S/D
2025/11/15,14:00,24.2,S/D,88,S/D,S/D
2025/11/15,15:00,23.3,S/D,93,S/D,S/D
2025/11/15,16:00,23.9,S/D,89,S/D,S/D
2025/11/15,17:00,24.4,S/D,85,S/D,S/D
2025/11/15,18:00,24.0,S/D,88,S/D,S/D
