Estación : CABALLOCOCHA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/01/01,00:00,25.1,0.0,100,253,0.0
2022/01/01,01:00,25.3,0.0,100,208,0.5
2022/01/01,02:00,25.3,1.2,100,247,0.3
2022/01/01,03:00,25.0,0.0,100,195,1.1
2022/01/01,04:00,24.8,0.0,100,152,0.3
2022/01/01,05:00,24.9,0.3,100,199,0.2
2022/01/01,06:00,23.7,20.1,100,187,4.3
2022/01/01,07:00,23.7,47.4,100,169,1.5
2022/01/01,08:00,22.2,9.3,100,267,0.4
2022/01/01,09:00,22.6,5.4,100,332,0.5
2022/01/01,10:00,23.3,3.6,100,274,0.7
2022/01/01,11:00,24.2,0.3,100,69,0.3
2022/01/01,12:00,25.9,0.0,89,40,0.8
2022/01/01,13:00,26.9,0.0,86,48,0.5
2022/01/01,14:00,29.6,0.0,73,12,1.4
2022/01/01,15:00,30.4,0.0,73,11,1.4
2022/01/01,16:00,30.2,0.0,74,226,1.0
2022/01/01,17:00,30.1,0.0,75,244,1.0
2022/01/01,18:00,28.7,0.0,83,214,0.5
2022/01/01,19:00,27.0,0.0,93,178,0.7
2022/01/01,20:00,26.7,0.0,95,124,1.3
2022/01/01,21:00,26.1,0.0,96,127,0.4
2022/01/01,22:00,25.7,0.0,99,92,0.4
2022/01/01,23:00,25.9,0.0,95,3,1.2
2022/01/02,00:00,25.5,0.0,97,0,1.6
2022/01/02,01:00,25.4,0.0,97,1,1.0
2022/01/02,02:00,25.4,0.0,98,4,
