Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CABALLOCOCHA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/12/01,00:00,26.4,0.0,94,107,0.0
2025/12/01,01:00,25.9,0.0,96,102,0.0
2025/12/01,02:00,25.9,0.0,97,185,0.0
2025/12/01,03:00,25.5,0.0,99,244,0.0
2025/12/01,04:00,25.3,0.0,98,126,0.0
2025/12/01,05:00,25.0,0.0,100,166,0.1
2025/12/01,06:00,24.9,0.0,99,151,0.0
2025/12/01,07:00,27.2,0.0,88,114,1.0
2025/12/01,08:00,28.7,0.0,82,23,0.9
2025/12/01,09:00,31.4,0.0,73,59,0.9
2025/12/01,10:00,32.3,0.0,70,44,1.4
2025/12/01,11:00,32.8,0.0,65,26,2.0
2025/12/01,12:00,33.9,0.0,60,67,1.7
2025/12/01,13:00,34.1,0.0,58,33,1.6
2025/12/01,14:00,34.8,0.0,54,32,1.2
2025/12/01,15:00,33.9,0.0,61,8,2.7
2025/12/01,16:00,32.2,0.0,66,69,0.5
2025/12/01,17:00,31.6,0.0,74,201,0.3
2025/12/01,18:00,26.7,0.9,86,223,1.6
2025/12/01,19:00,26.5,0.0,91,108,1.3
2025/12/01,20:00,30.4,S/D,S/D,S/D,S/D
2025/12/01,21:00,25.5,0.0,91,80,1.4
2025/12/01,22:00,26.2,0.0,90,86,1.1
2025/12/01,23:00,25.6,1.2,96,84,0.9
2025/12/02,00:00,25.4,0.0,98,118,0.5
2025/12/02,01:00,25.8,0.3,98,171,0.0
2025/12/02,02:00,24.9,0.9,100,133,1.0
2025/12/02,03:00,23.2,24.3,96,312,5.0
2025/12/02,04:00,23.5,20.7,100,94,1.1
2025/12/02,05:00,22.8,1.2,99,213,1.4
2025/12/02,06:00,22.6,0.6,100,166,0.2
2025/12/02,07:00,23.2,3.0,100,90,0.6
2025/12/02,08:00,23.3,4.8,100,200,0.5
2025/12/02,09:00,23.0,1.2,100,109,1.8
2025/12/02,10:00,23.4,0.0,98,83,1.0
2025/12/02,11:00,24.9,0.0,92,92,0.9
2025/12/02,12:00,26.9,0.0,81,72,1.3
2025/12/02,13:00,28.1,0.0,78,71,1.4
2025/12/02,14:00,29.3,0.0,70,52,1.1
2025/12/02,15:00,29.5,0.0,69,352,1.5
2025/12/02,16:00,29.3,0.0,71,5,1.7
2025/12/02,17:00,27.9,0.0,80,295,1.7
2025/12/02,18:00,26.7,0.0,86,353,1.2
2025/12/02,19:00,25.8,0.0,91,40,0.6
2025/12/02,20:00,25.7,0.0,93,28,0.0
2025/12/02,21:00,25.3,0.0,96,137,1.2
2025/12/02,22:00,24.9,0.0,96,164,0.0
2025/12/02,23:00,24.6,0.0,99,94,0.0
2025/12/03,00:00,24.5,0.0,100,122,0.0
2025/12/03,01:00,24.4,0.0,99,129,0.3
2025/12/03,02:00,24.2,0.0,100,132,0.0
2025/12/03,03:00,24.1,0.0,100,206,0.0
2025/12/03,04:00,23.9,0.0,100,78,0.0
2025/12/03,05:00,23.9,0.0,100,190,0.0
2025/12/03,06:00,24.0,0.0,100,123,0.0
2025/12/03,07:00,25.0,0.0,95,108,0.0
2025/12/03,08:00,27.8,0.0,85,97,0.4
2025/12/03,09:00,29.4,0.0,74,354,1.5
2025/12/03,10:00,31.2,0.0,68,46,1.2
2025/12/03,11:00,31.3,0.0,74,60,2.1
2025/12/03,12:00,32.3,0.0,68,76,2.5
2025/12/03,13:00,32.3,0.0,68,67,1.5
2025/12/03,14:00,27.3,0.0,89,262,3.1
2025/12/03,15:00,25.1,2.1,95,75,1.5
2025/12/03,16:00,24.5,0.6,96,60,0.8
2025/12/03,17:00,24.9,0.0,96,229,1.2
2025/12/03,18:00,24.9,0.0,95,175,0.0
2025/12/03,19:00,24.9,0.0,96,72,0.0
2025/12/03,20:00,25.1,0.0,96,200,0.0
2025/12/03,21:00,24.8,0.0,97,90,0.0
2025/12/03,22:00,24.6,0.0,99,136,0.0
2025/12/03,23:00,24.2,0.0,99,175,0.4
2025/12/04,00:00,23.9,0.0,100,54,0.0
2025/12/04,01:00,24.1,0.0,100,92,0.0
2025/12/04,02:00,24.5,0.0,100,52,0.3
2025/12/04,03:00,24.8,0.0,100,82,0.1
2025/12/04,04:00,24.5,0.0,100,167,0.0
2025/12/04,05:00,24.3,0.0,100,115,0.0
2025/12/04,06:00,24.7,0.0,100,127,0.1
2025/12/04,07:00,25.9,0.0,99,93,0.7
2025/12/04,08:00,29.1,0.0,80,93,1.2
2025/12/04,09:00,30.5,0.0,76,71,1.4
2025/12/04,10:00,31.2,0.0,69,46,2.1
2025/12/04,11:00,32.6,0.0,66,355,1.6
2025/12/04,12:00,31.7,0.0,69,59,1.4
2025/12/04,13:00,32.6,0.0,68,60,1.6
2025/12/04,14:00,33.8,0.0,62,19,0.9
2025/12/04,15:00,32.0,0.0,67,27,1.1
2025/12/04,16:00,31.2,0.0,69,248,0.6
2025/12/04,17:00,27.8,0.0,74,62,2.7
2025/12/04,18:00,26.1,0.0,86,130,1.8
2025/12/04,19:00,25.7,0.0,89,92,0.5
2025/12/04,20:00,25.6,0.0,90,172,0.2
2025/12/04,21:00,25.8,0.0,90,216,0.4
2025/12/04,22:00,25.8,0.0,91,179,0.0
2025/12/04,23:00,25.4,0.0,96,154,0.1
2025/12/05,00:00,25.4,0.0,96,12,0.0
2025/12/05,01:00,25.3,0.0,97,144,0.0
2025/12/05,02:00,24.9,0.0,99,114,0.2
2025/12/05,03:00,24.9,0.0,99,120,1.0
2025/12/05,04:00,24.8,0.0,99,104,0.0
2025/12/05,05:00,24.7,0.0,100,64,0.0
2025/12/05,06:00,24.9,0.0,100,44,0.3
2025/12/05,07:00,25.8,0.0,93,21,1.5
2025/12/05,08:00,26.8,0.0,84,94,0.5
2025/12/05,09:00,28.3,0.0,81,134,0.3
2025/12/05,10:00,28.5,0.0,82,91,0.7
2025/12/05,11:00,29.9,0.0,76,63,1.1
2025/12/05,12:00,30.7,0.0,75,97,1.6
2025/12/05,13:00,31.8,0.0,69,67,1.4
2025/12/05,14:00,32.8,0.0,65,41,0.9
2025/12/05,15:00,33.9,0.0,60,45,1.4
2025/12/05,16:00,26.7,0.0,80,7,2.0
2025/12/05,17:00,26.3,0.3,87,177,0.8
2025/12/05,18:00,25.5,0.0,90,122,1.6
2025/12/05,19:00,25.3,0.0,94,140,0.2
2025/12/05,20:00,24.9,0.0,95,80,0.0
2025/12/05,21:00,24.8,0.0,95,54,0.0
2025/12/05,22:00,24.7,0.0,97,178,0.0
2025/12/05,23:00,24.6,0.0,99,152,0.0
2025/12/06,00:00,24.6,0.0,99,251,0.0
2025/12/06,01:00,24.1,0.0,100,110,0.0
2025/12/06,02:00,24.2,0.0,100,147,0.0
2025/12/06,03:00,24.2,0.0,100,128,0.0
2025/12/06,04:00,24.0,0.0,100,164,0.0
2025/12/06,05:00,23.9,0.0,100,148,0.0
2025/12/06,06:00,24.6,0.0,100,77,0.0
2025/12/06,07:00,27.5,0.0,84,110,0.9
2025/12/06,08:00,29.5,0.0,78,93,1.5
2025/12/06,09:00,30.9,0.0,74,45,1.5
2025/12/06,10:00,31.5,0.0,73,52,1.5
2025/12/06,11:00,33.0,0.0,71,104,0.7
2025/12/06,12:00,32.9,0.0,69,67,1.1
2025/12/06,13:00,34.7,0.0,60,342,1.8
2025/12/06,14:00,33.4,0.0,65,19,1.1
2025/12/06,15:00,32.6,0.0,67,4,1.9
2025/12/06,16:00,31.8,0.0,74,84,0.6
2025/12/06,17:00,30.5,0.0,82,109,0.7
2025/12/06,18:00,29.2,0.0,86,115,0.9
2025/12/06,19:00,28.1,0.0,85,127,1.7
2025/12/06,20:00,27.4,0.0,90,108,0.4
2025/12/06,21:00,26.7,0.0,90,123,0.6
2025/12/06,22:00,26.2,0.0,92,92,0.0
2025/12/06,23:00,25.7,0.0,96,56,0.0
2025/12/07,00:00,25.4,0.0,98,87,0.0
2025/12/07,01:00,25.3,0.0,99,157,0.0
2025/12/07,02:00,25.0,0.0,98,150,0.0
2025/12/07,03:00,25.0,0.0,98,123,0.0
2025/12/07,04:00,25.1,0.0,98,135,1.2
2025/12/07,05:00,24.8,0.0,99,134,0.9
2025/12/07,06:00,24.8,0.0,100,56,0.1
