Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CONTAMANA
Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
Latitud :,7°21'9.14'',Longitud :,75°0'22.75'',Altitud :,185 msnm.
Tipo :,EAMA - Meteorológica,Código :,47287402
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/02/01,00:00,26.3,S/D,85,S/D,0.0
2026/02/01,01:00,25.9,S/D,88,S/D,0.0
2026/02/01,02:00,25.2,S/D,92,S/D,0.0
2026/02/01,03:00,25.0,S/D,91,S/D,0.3
2026/02/01,04:00,24.8,S/D,89,S/D,0.0
2026/02/01,05:00,24.3,S/D,91,S/D,0.0
2026/02/01,06:00,24.3,S/D,91,S/D,0.0
2026/02/01,07:00,24.6,S/D,90,S/D,0.0
2026/02/01,08:00,25.0,S/D,90,S/D,0.0
2026/02/01,09:00,26.1,S/D,85,S/D,0.0
2026/02/01,10:00,25.6,S/D,88,S/D,0.3
2026/02/01,11:00,27.0,S/D,83,S/D,0.6
2026/02/01,12:00,28.6,S/D,74,S/D,0.0
2026/02/01,13:00,30.2,S/D,67,S/D,0.0
2026/02/01,14:00,28.8,S/D,75,S/D,0.0
2026/02/01,15:00,27.7,S/D,79,S/D,0.0
2026/02/01,16:00,25.0,S/D,94,S/D,9.0
2026/02/01,17:00,23.2,S/D,98,S/D,26.4
2026/02/01,18:00,23.3,S/D,98,S/D,0.0
2026/02/01,19:00,23.1,S/D,98,S/D,2.7
2026/02/01,20:00,23.0,S/D,99,S/D,0.0
2026/02/01,21:00,23.1,S/D,99,S/D,0.0
2026/02/01,22:00,23.4,S/D,99,S/D,0.0
2026/02/01,23:00,23.5,S/D,99,S/D,0.0
2026/02/02,00:00,23.4,S/D,99,S/D,0.0
2026/02/02,01:00,23.5,S/D,99,S/D,0.0
2026/02/02,02:00,23.6,S/D,99,S/D,0.0
2026/02/02,03:00,23.1,S/D,99,S/D,0.0
2026/02/02,04:00,23.0,S/D,99,S/D,0.0
2026/02/02,05:00,23.1,S/D,99,S/D,0.0
2026/02/02,06:00,23.2,S/D,99,S/D,0.0
2026/02/02,07:00,23.4,S/D,99,S/D,0.0
2026/02/02,08:00,24.2,S/D,99,S/D,0.0
2026/02/02,09:00,24.9,S/D,99,S/D,0.0
2026/02/02,10:00,28.2,S/D,78,S/D,0.0
2026/02/02,11:00,29.3,S/D,74,S/D,0.0
2026/02/02,12:00,31.4,S/D,65,S/D,0.0
2026/02/02,13:00,32.5,S/D,63,S/D,0.0
2026/02/02,14:00,31.0,S/D,70,S/D,0.0
2026/02/02,15:00,32.7,S/D,60,S/D,0.0
2026/02/02,16:00,33.0,S/D,60,S/D,0.0
2026/02/02,17:00,33.6,S/D,56,S/D,0.0
2026/02/02,18:00,31.6,S/D,63,S/D,0.0
2026/02/02,19:00,28.7,S/D,77,S/D,0.0
2026/02/02,20:00,27.8,S/D,80,S/D,0.0
2026/02/02,21:00,27.6,S/D,80,S/D,0.0
2026/02/02,22:00,26.1,S/D,82,S/D,0.0
2026/02/02,23:00,25.3,S/D,86,S/D,0.0
2026/02/03,00:00,24.6,S/D,90,S/D,0.0
2026/02/03,01:00,24.2,S/D,91,S/D,0.0
2026/02/03,02:00,24.1,S/D,90,S/D,0.0
2026/02/03,03:00,24.0,S/D,89,S/D,0.0
2026/02/03,04:00,24.0,S/D,88,S/D,0.0
2026/02/03,05:00,24.1,S/D,88,S/D,0.0
2026/02/03,06:00,24.0,S/D,88,S/D,0.0
2026/02/03,07:00,24.3,S/D,87,S/D,0.0
2026/02/03,08:00,25.5,S/D,84,S/D,0.0
2026/02/03,09:00,27.4,S/D,78,S/D,0.0
2026/02/03,10:00,30.0,S/D,67,S/D,0.0
2026/02/03,11:00,29.7,S/D,72,S/D,0.0
2026/02/03,12:00,30.8,S/D,68,S/D,0.0
2026/02/03,13:00,33.0,S/D,55,S/D,0.0
2026/02/03,14:00,33.0,S/D,54,S/D,0.0
2026/02/03,15:00,32.2,S/D,59,S/D,0.0
2026/02/03,16:00,30.3,S/D,59,S/D,0.0
2026/02/03,17:00,31.8,S/D,59,S/D,0.0
2026/02/03,18:00,29.7,S/D,66,S/D,0.0
2026/02/03,19:00,28.3,S/D,71,S/D,0.0
2026/02/03,20:00,27.2,S/D,77,S/D,0.0
2026/02/03,21:00,26.4,S/D,84,S/D,0.0
2026/02/03,22:00,26.1,S/D,82,S/D,0.0
2026/02/03,23:00,25.7,S/D,83,S/D,0.0
2026/02/04,00:00,25.2,S/D,85,S/D,0.0
2026/02/04,01:00,25.1,S/D,87,S/D,0.0
2026/02/04,02:00,24.9,S/D,89,S/D,0.0
2026/02/04,03:00,24.8,S/D,89,S/D,0.0
2026/02/04,04:00,24.8,S/D,92,S/D,0.0
2026/02/04,05:00,24.6,S/D,92,S/D,0.0
2026/02/04,06:00,24.2,S/D,92,S/D,0.0
2026/02/04,07:00,25.0,S/D,88,S/D,0.0
2026/02/04,08:00,27.2,S/D,78,S/D,0.0
2026/02/04,09:00,28.5,S/D,72,S/D,0.0
2026/02/04,10:00,29.3,S/D,68,S/D,0.0
2026/02/04,11:00,31.3,S/D,62,S/D,0.0
2026/02/04,12:00,31.5,S/D,61,S/D,0.0
2026/02/04,13:00,32.7,S/D,61,S/D,0.0
2026/02/04,14:00,33.6,S/D,57,S/D,0.0
2026/02/04,15:00,32.8,S/D,58,S/D,0.0
2026/02/04,16:00,30.6,S/D,57,S/D,0.0
2026/02/04,17:00,28.8,S/D,68,S/D,0.0
2026/02/04,18:00,28.8,S/D,70,S/D,0.0
2026/02/04,19:00,28.0,S/D,76,S/D,0.0
2026/02/04,20:00,27.9,S/D,76,S/D,0.0
2026/02/04,21:00,27.8,S/D,76,S/D,0.0
2026/02/04,22:00,26.9,S/D,84,S/D,0.0
2026/02/04,23:00,26.4,S/D,85,S/D,0.0
2026/02/05,00:00,26.0,S/D,89,S/D,0.0
2026/02/05,01:00,25.8,S/D,89,S/D,0.0
2026/02/05,02:00,25.5,S/D,90,S/D,0.0
2026/02/05,03:00,25.6,S/D,85,S/D,0.0
2026/02/05,04:00,25.4,S/D,87,S/D,0.0
2026/02/05,05:00,24.9,S/D,91,S/D,0.0
2026/02/05,06:00,24.8,S/D,91,S/D,0.0
2026/02/05,07:00,25.3,S/D,91,S/D,0.0
2026/02/05,08:00,26.6,S/D,85,S/D,0.0
2026/02/05,09:00,28.3,S/D,74,S/D,0.0
2026/02/05,10:00,30.5,S/D,65,S/D,0.0
2026/02/05,11:00,32.5,S/D,62,S/D,0.0
2026/02/05,12:00,32.7,S/D,53,S/D,0.0
2026/02/05,13:00,32.9,S/D,56,S/D,0.0
2026/02/05,14:00,33.0,S/D,56,S/D,0.0
2026/02/05,15:00,33.0,S/D,53,S/D,0.0
2026/02/05,16:00,32.7,S/D,54,S/D,0.0
2026/02/05,17:00,30.8,S/D,64,S/D,0.0
2026/02/05,18:00,29.7,S/D,70,S/D,0.0
2026/02/05,19:00,29.0,S/D,73,S/D,0.0
2026/02/05,20:00,28.1,S/D,78,S/D,0.0
2026/02/05,21:00,S/D,S/D,S/D,S/D,S/D
2026/02/05,22:00,26.9,S/D,78,S/D,0.0
2026/02/05,23:00,26.7,S/D,79,S/D,0.0
2026/02/06,00:00,26.3,S/D,81,S/D,0.0
