Estación : PEBAS
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/11/01,00:00,22.8,0.0,100,332,1.6
2021/11/01,01:00,22.6,0.0,100,340,2.0
2021/11/01,02:00,22.5,0.0,100,46,1.0
2021/11/01,03:00,22.4,0.0,100,35,0.1
2021/11/01,04:00,22.6,0.0,100,82,0.7
2021/11/01,05:00,22.4,0.0,100,352,1.8
2021/11/01,06:00,22.5,0.0,100,8,1.6
2021/11/01,07:00,23.7,0.0,100,33,0.8
2021/11/01,08:00,26.8,0.0,77,106,0.2
2021/11/01,09:00,28.1,0.0,74,334,2.2
2021/11/01,10:00,29.2,0.0,71,358,3.8
2021/11/01,11:00,31.3,0.0,65,354,4.0
2021/11/01,12:00,32.8,0.0,57,343,4.6
2021/11/01,13:00,32.5,0.0,56,324,3.2
2021/11/01,14:00,26.1,6.3,91,278,1.4
2021/11/01,15:00,24.8,0.0,85,233,2.3
2021/11/01,16:00,24.6,0.0,99,107,1.4
2021/11/01,17:00,24.7,0.0,91,193,1.0
2021/11/01,18:00,24.4,0.0,100,264,1.5
2021/11/01,19:00,24.2,0.0,100,175,1.1
2021/11/01,20:00,23.9,0.0,100,332,1.2
2021/11/01,21:00,23.5,0.0,100,342,0.4
2021/11/01,22:00,23.3,0.0,100,63,0.5
2021/11/01,23:00,23.1,0.0,100,54,0.6
2021/11/02,00:00,22.7,0.0,100,22,1.1
2021/11/02,01:00,22.3,0.0,100,29,1.3
2021/11/02,02:00,22.4,0.0,100,35,1.0
2021/11/02,03:00,22.7,0.0,100,24,0.1
2021/11/02,04:00,23.2,0.3,100,7,3.0
2021/11/02,05:00,23.1,0.0,100,19,3.7
2021/11/02,06:00,22.5,0.0,98,20,2.5
2021/11/02,07:00,
