Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PEBAS
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/08/01,00:00,S/D,S/D,S/D,347,0.5
2025/08/01,01:00,S/D,S/D,S/D,2,1.3
2025/08/01,02:00,S/D,S/D,S/D,341,0.9
2025/08/01,03:00,S/D,S/D,S/D,20,0.0
2025/08/01,04:00,S/D,S/D,S/D,34,0.0
2025/08/01,05:00,S/D,S/D,S/D,347,0.9
2025/08/01,06:00,S/D,S/D,S/D,11,0.0
2025/08/01,07:00,S/D,S/D,S/D,2,1.1
2025/08/01,08:00,S/D,S/D,S/D,129,0.8
2025/08/01,09:00,S/D,S/D,S/D,169,2.0
2025/08/01,10:00,S/D,S/D,S/D,160,2.8
2025/08/01,11:00,S/D,S/D,S/D,184,2.4
2025/08/01,12:00,S/D,S/D,S/D,221,1.9
2025/08/01,13:00,S/D,S/D,S/D,218,2.3
2025/08/01,14:00,S/D,S/D,S/D,188,2.1
2025/08/01,15:00,S/D,S/D,S/D,28,3.2
2025/08/01,16:00,S/D,S/D,S/D,184,3.2
2025/08/01,17:00,S/D,S/D,S/D,153,4.4
2025/08/01,18:00,S/D,S/D,S/D,185,4.8
2025/08/01,19:00,S/D,S/D,S/D,66,0.7
2025/08/01,20:00,S/D,S/D,S/D,140,1.9
2025/08/01,21:00,S/D,S/D,S/D,22,0.9
2025/08/01,22:00,S/D,S/D,S/D,99,2.9
2025/08/01,23:00,S/D,S/D,S/D,133,0.3
2025/08/02,00:00,S/D,S/D,S/D,117,1.1
2025/08/02,01:00,S/D,S/D,S/D,105,2.4
2025/08/02,02:00,S/D,S/D,S/D,108,0.2
2025/08/02,03:00,S/D,S/D,S/D,41,0.2
2025/08/02,04:00,S/D,S/D,S/D,11,0.6
2025/08/02,05:00,S/D,S/D,S/D,35,0.7
2025/08/02,06:00,S/D,S/D,S/D,32,0.5
2025/08/02,07:00,S/D,S/D,S/D,3,0.3
2025/08/02,08:00,S/D,S/D,S/D,52,1.1
2025/08/02,09:00,S/D,S/D,S/D,86,2.7
2025/08/02,10:00,S/D,S/D,S/D,100,3.3
2025/08/02,11:00,S/D,S/D,S/D,97,2.4
2025/08/02,12:00,S/D,S/D,S/D,93,2.7
2025/08/02,13:00,S/D,S/D,S/D,72,1.7
2025/08/02,14:00,S/D,S/D,S/D,63,2.8
2025/08/02,15:00,S/D,S/D,S/D,131,2.2
2025/08/02,16:00,S/D,S/D,S/D,110,2.6
2025/08/02,17:00,S/D,S/D,S/D,73,0.6
2025/08/02,18:00,S/D,S/D,S/D,90,0.1
2025/08/02,19:00,S/D,S/D,S/D,137,0.8
2025/08/02,20:00,S/D,S/D,S/D,103,0.0
2025/08/02,21:00,S/D,S/D,S/D,338,0.6
2025/08/02,22:00,S/D,S/D,S/D,9,1.3
2025/08/02,23:00,S/D,S/D,S/D,17,0.4
2025/08/03,00:00,S/D,S/D,S/D,339,1.7
2025/08/03,01:00,S/D,S/D,S/D,346,0.0
