Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
Tipo :,EMA - Meteorológica,Código :,104112
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/11/01,00:00,23.6,0.0,100,S/D,S/D
2025/11/01,01:00,23.5,0.0,99,S/D,S/D
2025/11/01,02:00,23.1,0.0,99,S/D,S/D
2025/11/01,03:00,22.8,0.0,100,S/D,S/D
2025/11/01,04:00,22.9,0.0,100,S/D,S/D
2025/11/01,05:00,23.0,0.0,100,S/D,S/D
2025/11/01,06:00,23.1,0.0,100,S/D,S/D
2025/11/01,07:00,23.7,0.0,99,S/D,S/D
2025/11/01,08:00,25.1,0.0,94,S/D,S/D
2025/11/01,09:00,26.9,0.0,84,S/D,S/D
2025/11/01,10:00,28.9,0.0,78,S/D,S/D
2025/11/01,11:00,30.2,0.0,73,S/D,S/D
2025/11/01,12:00,31.7,0.0,67,S/D,S/D
2025/11/01,13:00,32.2,0.0,65,S/D,S/D
2025/11/01,14:00,32.8,0.0,64,S/D,S/D
2025/11/01,15:00,32.4,0.0,66,S/D,S/D
2025/11/01,16:00,28.1,0.4,85,S/D,S/D
2025/11/01,17:00,25.3,3.4,94,S/D,S/D
2025/11/01,18:00,23.8,0.0,100,S/D,S/D
2025/11/01,19:00,23.5,0.0,100,S/D,S/D
2025/11/01,20:00,23.6,0.0,100,S/D,S/D
2025/11/01,21:00,23.9,0.0,100,S/D,S/D
2025/11/01,22:00,24.0,0.0,99,S/D,S/D
2025/11/01,23:00,23.6,0.0,100,S/D,S/D
2025/11/02,00:00,23.4,0.0,100,S/D,S/D
2025/11/02,01:00,23.4,0.0,100,S/D,S/D
2025/11/02,02:00,23.5,0.0,100,S/D,S/D
2025/11/02,03:00,23.3,0.0,100,S/D,S/D
2025/11/02,04:00,23.1,0.0,100,S/D,S/D
2025/11/02,05:00,23.4,0.0,100,S/D,S/D
2025/11/02,06:00,23.6,0.0,100,S/D,S/D
2025/11/02,07:00,23.9,0.0,100,S/D,S/D
2025/11/02,08:00,24.7,0.0,98,S/D,S/D
2025/11/02,09:00,26.0,0.0,94,S/D,S/D
2025/11/02,10:00,27.0,0.0,90,S/D,S/D
2025/11/02,11:00,28.0,0.0,83,S/D,S/D
2025/11/02,12:00,29.0,0.0,80,S/D,S/D
2025/11/02,13:00,30.0,0.0,78,S/D,S/D
2025/11/02,14:00,31.2,0.0,74,S/D,S/D
2025/11/02,15:00,30.6,0.0,74,S/D,S/D
2025/11/02,16:00,25.4,0.0,92,S/D,S/D
2025/11/02,17:00,23.8,0.0,98,S/D,S/D
2025/11/02,18:00,24.2,0.0,99,S/D,S/D
2025/11/02,19:00,24.3,0.0,99,S/D,S/D
2025/11/02,20:00,24.5,0.0,99,S/D,S/D
2025/11/02,21:00,24.6,0.0,98,S/D,S/D
2025/11/02,22:00,24.3,0.0,98,S/D,S/D
2025/11/02,23:00,24.2,0.0,99,S/D,S/D
2025/11/03,00:00,24.2,0.0,99,S/D,S/D
2025/11/03,01:00,23.9,0.0,100,S/D,S/D
2025/11/03,02:00,23.8,0.0,100,S/D,S/D
2025/11/03,03:00,23.6,0.0,99,S/D,S/D
2025/11/03,04:00,23.4,0.0,99,S/D,S/D
2025/11/03,05:00,23.2,0.0,100,S/D,S/D
2025/11/03,06:00,23.1,0.0,100,S/D,S/D
2025/11/03,07:00,23.8,0.0,99,S/D,S/D
2025/11/03,08:00,24.7,0.0,95,S/D,S/D
2025/11/03,09:00,25.5,0.0,91,S/D,S/D
2025/11/03,10:00,26.9,0.0,86,S/D,S/D
2025/11/03,11:00,29.1,0.0,78,S/D,S/D
2025/11/03,12:00,29.3,0.0,77,S/D,S/D
2025/11/03,13:00,29.9,0.0,76,S/D,S/D
2025/11/03,14:00,31.2,0.0,72,S/D,S/D
2025/11/03,15:00,30.0,0.0,74,S/D,S/D
2025/11/03,16:00,29.4,0.0,75,S/D,S/D
2025/11/03,17:00,27.5,0.0,84,S/D,S/D
2025/11/03,18:00,24.9,0.0,95,S/D,S/D
2025/11/03,19:00,24.7,0.0,99,S/D,S/D
2025/11/03,20:00,24.7,0.0,100,S/D,S/D
2025/11/03,21:00,24.4,0.0,100,S/D,S/D
2025/11/03,22:00,24.3,0.0,100,S/D,S/D
2025/11/03,23:00,24.2,0.0,99,S/D,S/D
2025/11/04,00:00,24.1,0.0,99,S/D,S/D
2025/11/04,01:00,24.1,0.0,98,S/D,S/D
2025/11/04,02:00,23.5,0.0,95,S/D,S/D
2025/11/04,03:00,23.2,0.0,97,S/D,S/D
2025/11/04,04:00,23.4,0.0,98,S/D,S/D
2025/11/04,05:00,23.1,0.0,99,S/D,S/D
2025/11/04,06:00,22.9,0.0,100,S/D,S/D
2025/11/04,07:00,23.5,0.0,99,S/D,S/D
2025/11/04,08:00,24.5,0.0,96,S/D,S/D
2025/11/04,09:00,26.3,0.0,90,S/D,S/D
2025/11/04,10:00,27.1,0.0,86,S/D,S/D
2025/11/04,11:00,28.1,0.0,83,S/D,S/D
2025/11/04,12:00,28.7,0.0,81,S/D,S/D
2025/11/04,13:00,29.3,0.0,79,S/D,S/D
2025/11/04,14:00,30.5,0.0,75,S/D,S/D
2025/11/04,15:00,31.2,0.0,71,S/D,S/D
2025/11/04,16:00,31.1,0.0,71,S/D,S/D
2025/11/04,17:00,27.8,12.0,89,S/D,S/D
2025/11/04,18:00,24.3,5.0,100,S/D,S/D
2025/11/04,19:00,23.9,0.0,100,S/D,S/D
2025/11/04,20:00,24.0,0.0,100,S/D,S/D
2025/11/04,21:00,23.9,0.0,100,S/D,S/D
2025/11/04,22:00,24.1,0.0,100,S/D,S/D
2025/11/04,23:00,24.4,0.0,100,S/D,S/D
2025/11/05,00:00,24.1,0.0,100,S/D,S/D
2025/11/05,01:00,23.9,0.0,100,S/D,S/D
2025/11/05,02:00,23.7,0.2,100,S/D,S/D
