Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
Tipo :,EMA - Meteorológica,Código :,104112
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/01/01,00:00,23.6,0.0,100,S/D,S/D
2026/01/01,01:00,23.5,0.0,100,S/D,S/D
2026/01/01,02:00,23.7,0.0,100,S/D,S/D
2026/01/01,03:00,23.4,0.0,100,S/D,S/D
2026/01/01,04:00,23.0,0.0,100,S/D,S/D
2026/01/01,05:00,22.9,0.0,100,S/D,S/D
2026/01/01,06:00,23.2,0.0,100,S/D,S/D
2026/01/01,07:00,23.8,0.0,100,S/D,S/D
2026/01/01,08:00,24.5,0.0,97,S/D,S/D
2026/01/01,09:00,25.9,0.0,92,S/D,S/D
2026/01/01,10:00,27.1,0.0,86,S/D,S/D
2026/01/01,11:00,28.6,0.0,79,S/D,S/D
2026/01/01,12:00,29.1,0.0,77,S/D,S/D
2026/01/01,13:00,29.7,0.0,75,S/D,S/D
2026/01/01,14:00,28.1,0.0,87,S/D,S/D
2026/01/01,15:00,27.6,0.0,89,S/D,S/D
2026/01/01,16:00,28.6,0.0,85,S/D,S/D
2026/01/01,17:00,29.6,0.0,77,S/D,S/D
2026/01/01,18:00,28.3,0.0,80,S/D,S/D
2026/01/01,19:00,26.5,0.0,89,S/D,S/D
2026/01/01,20:00,23.2,14.9,98,S/D,S/D
2026/01/01,21:00,23.0,0.0,100,S/D,S/D
2026/01/01,22:00,23.0,0.0,100,S/D,S/D
2026/01/01,23:00,23.4,0.0,100,S/D,S/D
2026/01/02,00:00,23.1,0.0,100,S/D,S/D
2026/01/02,01:00,23.1,0.0,100,S/D,S/D
2026/01/02,02:00,23.0,0.0,100,S/D,S/D
2026/01/02,03:00,23.0,0.0,100,S/D,S/D
2026/01/02,04:00,23.0,0.0,100,S/D,S/D
2026/01/02,05:00,23.0,0.0,100,S/D,S/D
2026/01/02,06:00,23.1,0.0,100,S/D,S/D
2026/01/02,07:00,23.4,0.0,100,S/D,S/D
2026/01/02,08:00,23.8,0.0,100,S/D,S/D
2026/01/02,09:00,24.6,0.0,97,S/D,S/D
2026/01/02,10:00,26.2,0.0,89,S/D,S/D
2026/01/02,11:00,28.2,0.0,81,S/D,S/D
2026/01/02,12:00,29.7,0.0,74,S/D,S/D
2026/01/02,13:00,30.7,0.0,70,S/D,S/D
2026/01/02,14:00,31.8,0.0,64,S/D,S/D
2026/01/02,15:00,32.4,0.0,63,S/D,S/D
2026/01/02,16:00,31.5,0.0,68,S/D,S/D
2026/01/02,17:00,30.9,0.0,70,S/D,S/D
2026/01/02,18:00,29.6,0.0,77,S/D,S/D
2026/01/02,19:00,27.3,0.0,
