Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BAGAZAN
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,SAQUENA
Latitud :,4°43'26.46'',Longitud :,73°31'55.66'',Altitud :,100 msnm.
Tipo :,PE - Meteorológica,Código :,104067
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,S/D,S/D,S/D,15.4
2020-03-02,33.6,22,89.4,20.6
2020-03-03,33.8,24.4,80.6,0.0
2020-03-04,34,24.6,89.7,0.0
2020-03-05,33.4,24,86.9,17.6
2020-03-06,33.6,24,87.7,0.0
2020-03-07,33.8,24.2,89.4,0.0
2020-03-08,33,23.6,88.7,0.0
2020-03-09,32.6,23.2,84.3,13.4
2020-03-10,33,23.2,83.9,26.6
2020-03-11,32.8,23,83.3,0.0
2020-03-12,34.6,S/D,S/D,0.0
2020-03-13,34,24.6,85.2,0.0
2020-03-14,33.6,24,88.5,0.0
2020-03-15,34.6,24,92.2,0.0
2020-03-16,33.2,24.4,88.9,4.6
2020-03-17,32.4,23,88.4,8.6
2020-03-18,33,22.6,89.9,0.0
2020-03-19,34.2,23.6,90.2,0.0
2020-03-20,34.6,24.6,88.1,0.0
2020-03-21,35,24.8,87.7,0.0
2020-03-22,35.4,25,85.6,0.0
2020-03-23,33.4,24.4,86.9,5.2
2020-03-24,33.2,23.6,86.2,0.0
2020-03-25,36.2,23.4,87.1,0.0
2020-03-26,33.2,24.6,87.9,0.0
2020-03-27,33.4,24,91.7,30.2
2020-03-28,33.2,24.2,87.5,3.4
2020-03-29,32.2,23,91.0,0.0
2020-03-30,33,22.6,85.4,82.2
2020-03-31,32.2,23,85.3,0.0
