Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BAGAZAN
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,SAQUENA
Latitud :,4°43'26.46'',Longitud :,73°31'55.66'',Altitud :,100 msnm.
Tipo :,PE - Meteorológica,Código :,104067
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-01-01,S/D,S/D,S/D,S/D
2022-01-02,S/D,S/D,S/D,S/D
2022-01-03,S/D,S/D,S/D,S/D
2022-01-04,S/D,S/D,S/D,S/D
2022-01-05,36.6,24.2,78.0,0.0
2022-01-06,37.2,25,82.7,0.0
2022-01-07,36.4,24.4,89.7,0.0
2022-01-08,35.2,23.2,89.1,0.0
2022-01-09,34.4,22.6,89.1,0.0
2022-01-10,33.2,23,86.3,0.0
2022-01-11,36,24.2,86.6,0.0
2022-01-12,36.4,22.6,91.8,98.5
2022-01-13,33.4,22.6,90.0,0.0
2022-01-14,32.2,23,87.5,61.3
2022-01-15,33.6,23.4,89.0,0.0
2022-01-16,34,22.2,91.1,0.0
2022-01-17,34.4,24.6,92.6,0.0
2022-01-18,35.2,24.6,92.4,0.0
2022-01-19,32.6,24.8,88.8,10.2
2022-01-20,29.4,24.6,85.9,65.0
2022-01-21,33.2,24.2,88.3,42.2
2022-01-22,33.6,23.2,86.3,0.0
2022-01-23,33,24.4,87.8,35.4
2022-01-24,34.2,23.2,90.5,0.0
2022-01-25,31,24.2,94.3,8.6
2022-01-26,33.4,22.6,87.3,0.0
2022-01-27,35,24.2,91.1,0.0
2022-01-28,36,25,91.7,0.0
2022-01-29,34.6,25.2,92.8,0.0
2022-01-30,35,23.6,93.0,0.0
2022-01-31,34.4,24.2,92.6,0.0
