Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : CONTAMANA
Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
Latitud :,7°21'9.21'',Longitud :,75°0'22.97'',Altitud :,157 msnm.
Tipo :,CO - Meteorológica,Código :,100034
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,S/D,S/D
2024-01-02,35,20.4,86.9,0.0
2024-01-03,35,21.5,91.1,0.0
2024-01-04,33.3,21.8,96.9,15.2
2024-01-05,33.5,19.8,92.1,1.3
2024-01-06,33.8,20.4,93.5,0.5
2024-01-07,37,21.6,87.2,0.0
2024-01-08,36,21.2,79.9,0.0
2024-01-09,35.4,20.9,86.3,0.0
2024-01-10,35.4,21.7,87.7,0.0
2024-01-11,36,21.6,85.8,0.0
2024-01-12,34.2,20.6,86.0,0.0
2024-01-13,36.4,21.6,75.7,0.0
2024-01-14,36.6,21.3,87.5,3.9
2024-01-15,32.9,21,85.0,6.5
2024-01-16,34.5,20.8,85.8,0.0
2024-01-17,34.2,21.1,84.0,0.0
2024-01-18,34.1,20.7,83.6,4.9
2024-01-19,34.2,21.6,87.5,0.0
2024-01-20,36.5,19.7,81.2,0.0
2024-01-21,35.6,21.5,80.6,0.0
2024-01-22,36.3,22,79.9,0.0
2024-01-23,33.5,22.2,86.3,0.0
2024-01-24,37,21,64.8,0.0
2024-01-25,37.6,27.2,71.2,0.0
2024-01-26,38,22,74.5,0.0
2024-01-27,34,22.5,83.3,0.7
2024-01-28,33.1,21.7,85.5,2.1
2024-01-29,36.2,22,92.5,33.9
2024-01-30,33,21.8,87.6,5.7
2024-01-31,26.4,20.4,96.3,27.6
