Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : CONTAMANA
Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
Latitud :,7°21'9.21'',Longitud :,75°0'22.97'',Altitud :,157 msnm.
Tipo :,CO - Meteorológica,Código :,100034
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-07-01,S/D,19.8,S/D,2.1
2024-07-02,28.2,17.2,87.1,0.0
2024-07-03,31.6,19,85.1,0.0
2024-07-04,32.6,19,81.4,0.0
2024-07-05,33.4,19.5,84.1,0.0
2024-07-06,33.3,20.4,82.2,0.0
2024-07-07,28.6,21.4,89.1,0.0
2024-07-08,32.2,19.8,84.8,0.0
2024-07-09,33.2,20,83.2,0.0
2024-07-10,33,20.8,79.8,8.1
2024-07-11,31,20.2,86.9,0.0
2024-07-12,28.6,20.2,89.7,0.0
2024-07-13,27.3,19.7,87.8,0.0
2024-07-14,27.3,17.7,88.3,0.0
2024-07-15,28.2,18.6,83.6,0.0
2024-07-16,S/D,18.6,S/D,0.0
2024-07-17,S/D,17.4,S/D,0.0
2024-07-18,31.7,17.6,82.8,0.0
2024-07-19,33,17.8,99.1,0.0
2024-07-20,31.4,19.7,83.0,0.0
2024-07-21,33,20.8,78.7,0.0
2024-07-22,31.6,21,79.1,0.0
2024-07-23,34,20.6,82.3,0.0
2024-07-24,33.2,21.2,84.7,0.0
2024-07-25,34.4,21.3,83.9,0.0
2024-07-26,33.5,21.9,83.6,6.6
2024-07-27,34.6,20,82.2,0.0
2024-07-28,34,20.8,84.1,0.0
2024-07-29,33.5,21.6,82.3,0.0
2024-07-30,34.2,20.5,81.0,0.0
2024-07-31,33.2,21.2,87.9,0.0
