Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'19.82'',Longitud :,74°9'32.79'',Altitud :,105 msnm.
Tipo :,PE - Meteorológica,Código :,105092
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-12-01,34.8,21.4,94.4,14.3
2023-12-02,34.2,22.8,91.8,S/D
2023-12-03,S/D,S/D,S/D,S/D
2023-12-04,34,22.8,89.8,20.8
2023-12-05,33.6,21.6,89.5,5.2
2023-12-06,32,21.2,90.2,0.0
2023-12-07,30.2,22.4,90.4,S/D
2023-12-08,S/D,S/D,S/D,S/D
2023-12-09,S/D,S/D,S/D,S/D
2023-12-10,S/D,S/D,S/D,S/D
2023-12-11,32,23.4,91.5,25.1
2023-12-12,34.2,24,89.2,0.0
2023-12-13,35.2,24.2,88.7,25.2
2023-12-14,31.2,23,96.4,0.0
2023-12-15,34.2,23.6,88.9,0.0
2023-12-16,29.6,23,95.0,S/D
2023-12-17,S/D,S/D,S/D,S/D
2023-12-18,34,21.4,90.1,0.0
2023-12-19,35.8,23.6,88.4,0.0
2023-12-20,32,25,87.8,6.5
2023-12-21,31.4,S/D,95.4,21.0
2023-12-22,34.4,21.4,89.2,0.0
2023-12-23,34.2,23,94.6,S/D
2023-12-24,S/D,S/D,S/D,S/D
2023-12-25,S/D,S/D,S/D,S/D
2023-12-26,31.4,23,94.5,52.0
2023-12-27,29.6,22.6,91.4,0.0
2023-12-28,30,21.6,96.3,0.0
2023-12-29,34,23.4,90.4,0.0
2023-12-30,34.2,23,94.6,S/D
2023-12-31,S/D,S/D,S/D,S/D
