Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'19.82'',Longitud :,74°9'32.79'',Altitud :,105 msnm.
Tipo :,PE - Meteorológica,Código :,105092
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,S/D,S/D
2024-01-02,34,22.6,90.5,0.0
2024-01-03,31.4,23.2,92.5,4.5
2024-01-04,33.4,22.4,91.1,6.5
2024-01-05,34,24,86.9,0.0
2024-01-06,34.2,22.2,83.5,S/D
2024-01-07,S/D,S/D,S/D,S/D
2024-01-08,30,22.4,91.4,21.5
2024-01-09,34.2,21.8,88.1,0.0
2024-01-10,33.4,22.2,83.0,0.0
2024-01-11,33,21.4,87.4,0.0
2024-01-12,31.6,23,93.5,0.0
2024-01-13,31.2,22.8,93.0,17.0
2024-01-14,33,23.6,86.6,0.0
2024-01-15,35.4,23.2,87.7,15.2
2024-01-16,34.8,22,86.6,4.0
2024-01-17,27.4,21.6,94.6,31.2
2024-01-18,32,21.6,89.7,4.1
2024-01-19,32.4,21.6,87.0,0.0
2024-01-20,31.2,23,95.5,30.8
2024-01-21,32.2,22.2,86.1,0.0
2024-01-22,30.8,22.4,92.4,61.3
2024-01-23,30.2,21,95.3,0.0
2024-01-24,33.8,21.2,87.5,0.0
2024-01-25,31.4,21,90.2,22.2
2024-01-26,32,23,88.0,0.0
2024-01-27,34,23.2,87.3,9.6
2024-01-28,32.2,23.4,91.0,0.0
2024-01-29,33.4,24.4,87.3,0.0
2024-01-30,34,23.8,85.8,3.2
2024-01-31,29.8,23,95.0,41.6
