Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : GENARO HERRERA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
Latitud :,4°54'36.1'',Longitud :,73°40'10'',Altitud :,103 msnm.
Tipo :,CP - Meteorológica,Código :,104071
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-06-01,S/D,S/D,S/D,S/D
2024-06-02,32.8,S/D,86.3,0.0
2024-06-03,33.4,S/D,86.0,10.6
2024-06-04,30,S/D,83.9,8.6
2024-06-05,33.8,S/D,84.6,0.0
2024-06-06,32.4,S/D,84.0,16.4
2024-06-07,31,S/D,85.4,4.8
2024-06-08,29,S/D,85.7,12.4
2024-06-09,32.8,S/D,88.2,0.0
2024-06-10,32.6,S/D,85.8,0.0
2024-06-11,31,S/D,84.7,10.4
2024-06-12,33,S/D,85.0,8.6
2024-06-13,33,S/D,85.0,0.0
2024-06-14,32.6,S/D,86.5,2.4
2024-06-15,33,S/D,84.9,18.4
2024-06-16,31,S/D,85.0,16.4
2024-06-17,33.4,S/D,84.1,0.0
2024-06-18,33.8,S/D,86.1,0.0
2024-06-19,32,S/D,86.0,14.8
2024-06-20,30,S/D,83.5,26.6
2024-06-21,S/D,S/D,S/D,S/D
2024-06-22,33,S/D,86.4,0.0
2024-06-23,34,S/D,85.7,0.0
2024-06-24,33,S/D,85.5,0.0
2024-06-25,34.4,S/D,87.3,0.0
2024-06-26,33,S/D,85.0,12.4
2024-06-27,31,S/D,84.9,22.6
2024-06-28,33,S/D,85.4,0.0
2024-06-29,31,S/D,84.9,0.0
2024-06-30,31.8,S/D,85.5,0.0
