Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MANITI
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-04-01,S/D,23.2,S/D,4.8
2022-04-02,25.2,21.8,94.6,1.6
2022-04-03,27.2,20.6,93.2,0.0
2022-04-04,32.8,19.4,87.0,0.0
2022-04-05,34.4,21.4,87.5,24.7
2022-04-06,33,22.4,87.2,2.5
2022-04-07,32.6,22.8,93.1,0.2
2022-04-08,34.4,23.4,86.9,65.7
2022-04-09,31,23.2,88.8,5.0
2022-04-10,30.6,23.4,92.6,1.2
2022-04-11,32.8,23.8,89.9,36.9
2022-04-12,33.8,23,88.0,5.2
2022-04-13,31,22.8,94.4,10.2
2022-04-14,27.6,23.2,97.2,48.6
2022-04-15,31,22.4,90.9,0.9
2022-04-16,29.8,22,93.4,6.5
2022-04-17,30.6,22.8,95.8,8.8
2022-04-18,28.6,23,95.8,12.9
2022-04-19,31.8,23.2,90.5,0.6
2022-04-20,31,23,94.4,1.9
2022-04-21,30.8,22.8,90.9,0.0
2022-04-22,33.8,21.4,87.3,0.0
2022-04-23,34,22,87.2,0.0
2022-04-24,32.8,23.6,90.8,2.8
2022-04-25,32.6,23.2,86.8,7.0
2022-04-26,33.2,24,89.3,1.0
2022-04-27,34,23,87.6,41.0
2022-04-28,32.4,22.4,88.5,86.4
2022-04-29,30.8,22.8,92.9,71.3
2022-04-30,31.8,22.2,90.8,3.7
